model,contract,value,metric
modeloespecifico,pooled,4.8,fullgame_eppd
modeloespecifico,suit,-1.2653,net_eppd_delta
modeloespecifico,low,6.0,net_eppd_delta
selected_two_stage_av,pooled,4.19,fullgame_eppd
selected_two_stage_av,suit,-0.4872,net_eppd_delta
selected_two_stage_av,high,-0.4,net_eppd_delta
selected_two_stage_av,low,-1.3333,net_eppd_delta
gbt_av,pooled,1.54,fullgame_eppd
gbt_av,suit,-4.4667,net_eppd_delta
gbt_av,high,1.6,net_eppd_delta
gbt_av,low,1.75,net_eppd_delta
constrained_ols_av,pooled,5.0,fullgame_eppd
constrained_ols_av,suit,-0.4651,net_eppd_delta
constrained_ols_av,high,-0.5,net_eppd_delta
constrained_ols_av,low,0.6667,net_eppd_delta
selected_ols_av,pooled,4.74,fullgame_eppd
selected_ols_av,suit,-1.1053,net_eppd_delta
selected_ols_av,high,-0.7222,net_eppd_delta
selected_ols_av,low,0.6154,net_eppd_delta
full_ols_av,pooled,4.69,fullgame_eppd
full_ols_av,suit,-1.5,net_eppd_delta
full_ols_av,high,-2.2778,net_eppd_delta
full_ols_av,low,1.625,net_eppd_delta
stricthellraiser,pooled,2.09,fullgame_eppd
stricthellraiser,suit,-2.06,net_eppd_delta
rankthetank,pooled,-1.94,fullgame_eppd
rankthetank,suit,2.76,net_eppd_delta
anchor_hybrid_r0_full,pooled,4.21,fullgame_eppd
anchor_hybrid_r0_full,suit,-1.4865,net_eppd_delta
anchor_hybrid_r0_full,high,-3.6,net_eppd_delta
anchor_hybrid_r0_full,low,3.3333,net_eppd_delta
