model,contract,rank,feature_name,importance
gbt_av,suit,1,bid_n_sq,0.408
gbt_av,suit,2,bid_n,0.2347
gbt_av,suit,3,hand_value,0.0566
gbt_av,suit,4,offsuit_best_rank_sum,0.0277
gbt_av,suit,5,trump_count_x_void_count,0.0213
gbt_av,suit,6,offsuit_secondbest_rank_sum,0.0207
gbt_av,suit,7,high_card_count,0.0189
gbt_av,suit,8,trump_count_x_offsuit_ace,0.018
gbt_av,suit,9,offsuit_non_ace_count,0.0163
gbt_av,suit,10,offsuit_tens_count,0.0162
gbt_av,suit,11,trump_power_sum,0.0138
gbt_av,suit,12,losing_tricks_count,0.0131
gbt_av,suit,13,third_highest_trump_rank,0.0119
gbt_av,suit,14,offsuit_queen_count_total,0.011
gbt_av,suit,15,low_card_count,0.0099
gbt_av,suit,16,offsuit_king_count_total,0.0096
gbt_av,suit,17,quick_tricks,0.0078
gbt_av,suit,18,second_highest_trump_rank,0.007
gbt_av,suit,19,highest_trump_rank,0.0068
gbt_av,suit,20,trump_ten_count,0.0059
gbt_av,suit,21,num_doubletons,0.0058
gbt_av,suit,22,bowers,0.0051
gbt_av,suit,23,trump_lb_count,0.005
gbt_av,suit,24,num_singletons,0.005
gbt_av,suit,25,max_suit_len,0.0045
gbt_av,suit,26,trump_ace_count,0.0044
gbt_av,suit,27,trump_duplicate_pairs,0.0039
gbt_av,suit,28,trump_king_count,0.0037
gbt_av,suit,29,offsuit_suits_with_ace,0.0037
gbt_av,suit,30,trump_queen_count,0.0033
gbt_av,suit,31,trump_count,0.0027
gbt_av,suit,32,second_suit_len,0.0027
gbt_av,suit,33,offsuit_suits_with_double_ace,0.0026
gbt_av,suit,34,trump_rb_count,0.0026
gbt_av,suit,35,offsuit_length_3plus_count,0.0025
gbt_av,suit,36,third_suit_len,0.0024
gbt_av,suit,37,offsuit_suits_with_ace_and_king,0.0022
gbt_av,suit,38,offsuit_aces,0.0018
gbt_av,suit,39,void_count,0.0006
gbt_av,suit,40,double_ten_jack_count,0.0004
gbt_av,suit,41,fourth_suit_len,0.0
gbt_av,suit,42,is_moon,0.0
gbt_av,suit,43,is_loner,0.0
gbt_av,high,1,bid_n_sq,0.2821
gbt_av,high,2,bid_n,0.232
gbt_av,high,3,hand_value,0.1015
gbt_av,high,4,offsuit_secondbest_rank_sum,0.0665
gbt_av,high,5,low_card_count,0.0652
gbt_av,high,6,offsuit_best_rank_sum,0.0435
gbt_av,high,7,max_suit_len,0.0317
gbt_av,high,8,losing_tricks_count,0.0316
gbt_av,high,9,offsuit_tens_count,0.0199
gbt_av,high,10,offsuit_suits_with_double_ace,0.0182
gbt_av,high,11,high_card_count,0.0163
gbt_av,high,12,offsuit_queen_count_total,0.0133
gbt_av,high,13,offsuit_king_count_total,0.0133
gbt_av,high,14,offsuit_suits_with_ace_and_king,0.0098
gbt_av,high,15,quick_tricks,0.0083
gbt_av,high,16,num_singletons,0.0071
gbt_av,high,17,num_doubletons,0.0068
gbt_av,high,18,offsuit_non_ace_count,0.0058
gbt_av,high,19,fourth_suit_len,0.0054
gbt_av,high,20,offsuit_suits_with_ace,0.0052
gbt_av,high,21,second_suit_len,0.0047
gbt_av,high,22,third_suit_len,0.0042
gbt_av,high,23,offsuit_length_3plus_count,0.0027
gbt_av,high,24,void_count,0.0025
gbt_av,high,25,offsuit_aces,0.0017
gbt_av,high,26,double_ten_jack_count,0.0011
gbt_av,high,27,bowers,0.0
gbt_av,high,28,trump_count,0.0
gbt_av,high,29,trump_rb_count,0.0
gbt_av,high,30,trump_lb_count,0.0
gbt_av,high,31,trump_ace_count,0.0
gbt_av,high,32,trump_king_count,0.0
gbt_av,high,33,trump_queen_count,0.0
gbt_av,high,34,trump_ten_count,0.0
gbt_av,high,35,highest_trump_rank,0.0
gbt_av,high,36,second_highest_trump_rank,0.0
gbt_av,high,37,third_highest_trump_rank,0.0
gbt_av,high,38,trump_power_sum,0.0
gbt_av,high,39,trump_duplicate_pairs,0.0
gbt_av,high,40,trump_count_x_void_count,0.0
gbt_av,high,41,trump_count_x_offsuit_ace,0.0
gbt_av,high,42,is_moon,0.0
gbt_av,high,43,is_loner,0.0
gbt_av,low,1,bid_n,0.2618
gbt_av,low,2,bid_n_sq,0.2294
gbt_av,low,3,hand_value,0.1095
gbt_av,low,4,offsuit_queen_count_total,0.0454
gbt_av,low,5,offsuit_best_rank_sum,0.0412
gbt_av,low,6,losing_tricks_count,0.0379
gbt_av,low,7,offsuit_secondbest_rank_sum,0.0344
gbt_av,low,8,offsuit_tens_count,0.0342
gbt_av,low,9,high_card_count,0.032
gbt_av,low,10,offsuit_length_3plus_count,0.0262
gbt_av,low,11,second_suit_len,0.0231
gbt_av,low,12,offsuit_king_count_total,0.0167
gbt_av,low,13,quick_tricks,0.0157
gbt_av,low,14,offsuit_suits_with_ace_and_king,0.0131
gbt_av,low,15,offsuit_suits_with_ace,0.0129
gbt_av,low,16,low_card_count,0.0125
gbt_av,low,17,offsuit_aces,0.0116
gbt_av,low,18,num_doubletons,0.0103
gbt_av,low,19,offsuit_non_ace_count,0.0086
gbt_av,low,20,third_suit_len,0.0073
gbt_av,low,21,max_suit_len,0.0061
gbt_av,low,22,num_singletons,0.0043
gbt_av,low,23,fourth_suit_len,0.0029
gbt_av,low,24,void_count,0.0013
gbt_av,low,25,double_ten_jack_count,0.001
gbt_av,low,26,offsuit_suits_with_double_ace,0.0005
gbt_av,low,27,bowers,0.0
gbt_av,low,28,trump_count,0.0
gbt_av,low,29,trump_rb_count,0.0
gbt_av,low,30,trump_lb_count,0.0
gbt_av,low,31,trump_ace_count,0.0
gbt_av,low,32,trump_king_count,0.0
gbt_av,low,33,trump_queen_count,0.0
gbt_av,low,34,trump_ten_count,0.0
gbt_av,low,35,highest_trump_rank,0.0
gbt_av,low,36,second_highest_trump_rank,0.0
gbt_av,low,37,third_highest_trump_rank,0.0
gbt_av,low,38,trump_power_sum,0.0
gbt_av,low,39,trump_duplicate_pairs,0.0
gbt_av,low,40,trump_count_x_void_count,0.0
gbt_av,low,41,trump_count_x_offsuit_ace,0.0
gbt_av,low,42,is_moon,0.0
gbt_av,low,43,is_loner,0.0
gbt_av,pass,1,hand_value,0.1559
gbt_av,pass,2,offsuit_secondbest_rank_sum,0.1329
gbt_av,pass,3,offsuit_tens_count,0.1156
gbt_av,pass,4,offsuit_queen_count_total,0.0823
gbt_av,pass,5,offsuit_king_count_total,0.0695
gbt_av,pass,6,offsuit_best_rank_sum,0.0572
gbt_av,pass,7,offsuit_suits_with_ace,0.047
gbt_av,pass,8,max_suit_len,0.0421
gbt_av,pass,9,high_card_count,0.0396
gbt_av,pass,10,losing_tricks_count,0.0391
gbt_av,pass,11,offsuit_suits_with_ace_and_king,0.0354
gbt_av,pass,12,num_singletons,0.0343
gbt_av,pass,13,low_card_count,0.0338
gbt_av,pass,14,double_ten_jack_count,0.0233
gbt_av,pass,15,offsuit_non_ace_count,0.0202
gbt_av,pass,16,num_doubletons,0.0196
gbt_av,pass,17,void_count,0.0125
