model,net_eppd,eppd,bid_rate,pass_rate,make_rate,cvar_5,net_cvar_5,mix_suit,mix_high,mix_low,source
modeloespecifico,0.78,4.96,1.0,0.0,0.9,-5.5,-11.0,0.98,0.0,0.02,comparator
selected_two_stage_av,1.24,5.26,0.96,0.04,0.9583,-4.5,-11.0,0.78,0.1,0.12,comparator
gbt_av,-1.22,3.14,0.98,0.02,0.7551,-7.0,-13.0,0.3,0.3,0.4,comparator
constrained_ols_av,1.6,5.8,1.0,0.0,1.0,3.0,-4.0,0.86,0.08,0.06,comparator
selected_ols_av,1.72,5.86,1.0,0.0,1.0,3.0,-4.0,0.38,0.36,0.26,comparator
full_ols_av,1.48,5.64,0.98,0.02,1.0,2.0,-6.0,0.32,0.36,0.32,comparator
stricthellraiser,0.14,4.88,1.0,0.0,0.92,-3.0,-11.5,1.0,0.0,0.0,comparator
rankthetank,-11.3,-6.86,1.0,0.0,0.06,-9.5,-15.0,1.0,0.0,0.0,comparator
modeloespecifico,4.8,,0.48,0.52,0.9167,-1.4,,0.98,0.0,0.02,h2h_self_play
selected_two_stage_av,4.19,,0.52,0.48,0.8077,-6.0,,0.78,0.1,0.12,h2h_self_play
gbt_av,1.54,,0.38,0.62,0.3684,-8.2,,0.3,0.3,0.4,h2h_self_play
constrained_ols_av,5.0,,0.46,0.54,1.0,1.8,,0.86,0.08,0.06,h2h_self_play
selected_ols_av,4.74,,0.58,0.42,0.8966,-3.0,,0.38,0.36,0.26,h2h_self_play
full_ols_av,4.69,,0.5,0.5,0.8,-3.8,,0.32,0.36,0.32,h2h_self_play
stricthellraiser,2.09,,0.54,0.46,0.3333,-6.0,,1.0,0.0,0.0,h2h_self_play
rankthetank,-1.94,,0.4,0.6,0.1,-9.8,,1.0,0.0,0.0,h2h_self_play
anchor_hybrid_r0_full,4.21,,0.34,0.66,0.8824,-3.2,,0.8222,0.1111,0.0667,h2h_self_play
