model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
modeloespecifico,modeloespecifico,pooled,-1.12,-2.32,0.1,0.36,50
modeloespecifico,modeloespecifico,suit,-1.2653,-2.4694,-0.102,0.3469,49
modeloespecifico,modeloespecifico,low,6.0,6.0,6.0,1.0,1
modeloespecifico,modeloespecifico,bid_type:regular,-1.12,-2.32,0.1,0.36,50
modeloespecifico,selected_two_stage_av,pooled,-0.4,-1.86,1.16,0.36,50
modeloespecifico,selected_two_stage_av,suit,0.0455,-1.5682,1.7278,0.4091,44
modeloespecifico,selected_two_stage_av,high,-4.6667,-6.0,-2.0,0.0,3
modeloespecifico,selected_two_stage_av,low,-2.6667,-4.0,-2.0,0.0,3
modeloespecifico,selected_two_stage_av,bid_type:regular,-0.4,-1.86,1.16,0.36,50
selected_two_stage_av,modeloespecifico,pooled,-0.9,-2.3,0.44,0.42,50
selected_two_stage_av,modeloespecifico,suit,-0.9783,-2.3478,0.3261,0.413,46
selected_two_stage_av,modeloespecifico,high,4.0,-2.0,8.0,0.6667,3
selected_two_stage_av,modeloespecifico,low,-12.0,-12.0,-12.0,0.0,1
selected_two_stage_av,modeloespecifico,bid_type:regular,-0.9,-2.3,0.44,0.42,50
modeloespecifico,gbt_av,pooled,3.44,1.32,5.54,0.56,50
modeloespecifico,gbt_av,suit,1.1739,-1.4783,4.0435,0.5217,23
modeloespecifico,gbt_av,high,5.0,0.8571,8.8571,0.5714,14
modeloespecifico,gbt_av,low,5.7692,1.3846,9.7692,0.6154,13
modeloespecifico,gbt_av,bid_type:regular,3.44,1.32,5.54,0.56,50
gbt_av,modeloespecifico,pooled,-6.24,-8.0805,-4.28,0.3,50
gbt_av,modeloespecifico,suit,-5.25,-7.6667,-2.7917,0.2917,24
gbt_av,modeloespecifico,high,-9.0833,-12.3333,-5.3333,0.1667,12
gbt_av,modeloespecifico,low,-5.5,-9.5,-1.4286,0.4286,14
gbt_av,modeloespecifico,bid_type:regular,-6.24,-8.0805,-4.28,0.3,50
modeloespecifico,constrained_ols_av,pooled,-0.48,-1.88,0.8405,0.54,50
modeloespecifico,constrained_ols_av,suit,0.1429,-1.4524,1.5714,0.619,42
modeloespecifico,constrained_ols_av,high,-4.0,-6.3333,-1.3333,0.1667,6
modeloespecifico,constrained_ols_av,low,-3.0,-4.0,-2.0,0.0,2
modeloespecifico,constrained_ols_av,bid_type:regular,-0.48,-1.88,0.8405,0.54,50
constrained_ols_av,modeloespecifico,pooled,-1.68,-2.86,-0.42,0.22,50
constrained_ols_av,modeloespecifico,suit,-1.5957,-2.7447,-0.3617,0.2128,47
constrained_ols_av,modeloespecifico,high,-11.0,-11.0,-11.0,0.0,1
constrained_ols_av,modeloespecifico,low,1.0,-4.0,6.0,0.5,2
constrained_ols_av,modeloespecifico,bid_type:regular,-1.68,-2.86,-0.42,0.22,50
modeloespecifico,selected_ols_av,pooled,-0.32,-1.74,1.04,0.44,50
modeloespecifico,selected_ols_av,suit,0.3056,-1.3056,1.8333,0.5556,36
modeloespecifico,selected_ols_av,high,-2.875,-5.75,1.375,0.125,8
modeloespecifico,selected_ols_av,low,-0.6667,-2.6667,2.3333,0.1667,6
modeloespecifico,selected_ols_av,bid_type:regular,-0.32,-1.74,1.04,0.44,50
selected_ols_av,modeloespecifico,pooled,-1.6,-3.14,-0.06,0.32,50
selected_ols_av,modeloespecifico,suit,-1.75,-3.3056,-0.0556,0.2778,36
selected_ols_av,modeloespecifico,high,-1.375,-6.375,3.25,0.375,8
selected_ols_av,modeloespecifico,low,-1.0,-6.3333,3.6667,0.5,6
selected_ols_av,modeloespecifico,bid_type:regular,-1.6,-3.14,-0.06,0.32,50
modeloespecifico,full_ols_av,pooled,0.96,-0.66,2.6,0.52,50
modeloespecifico,full_ols_av,suit,0.6667,-1.2342,2.4,0.6333,30
modeloespecifico,full_ols_av,high,0.5,-3.5,5.25,0.375,8
