model,contract,r_squared,mae,n_train,n_val
constrained_ols_av,suit,0.5706,4.0174,2340,228
constrained_ols_av,high,0.491,5.6478,585,57
constrained_ols_av,low,0.4609,5.0205,585,57
constrained_ols_av,pass,-0.0238,4.5,80,8
full_ols_av,suit,0.5182,4.2393,2340,228
full_ols_av,high,0.6489,4.6689,585,57
full_ols_av,low,0.4766,4.9754,585,57
full_ols_av,pass,-0.0392,4.0691,80,8
gbt_av,suit,0.3681,4.443,2340,228
gbt_av,high,0.5055,5.0822,585,57
gbt_av,low,0.2049,5.5859,585,57
gbt_av,pass,-0.1178,4.3,80,8
selected_ols_av,suit,0.5596,4.0561,2340,228
selected_ols_av,high,0.5999,5.149,585,57
selected_ols_av,low,0.4796,4.8782,585,57
selected_ols_av,pass,-0.1387,4.6576,80,8
selected_two_stage_av,suit,,,2340,228
selected_two_stage_av,high,0.5999,5.149,585,57
selected_two_stage_av,low,0.4796,4.8782,585,57
selected_two_stage_av,pass,-0.1387,4.6576,80,8
