model,contract,pred_bin,mean_pred,actual_mean,n_samples
constrained_ols_av,pass,1,-0.6875,3.28,500
constrained_ols_av,pass,2,-0.6875,3.126,500
constrained_ols_av,pass,3,-0.6875,3.24,500
constrained_ols_av,pass,4,-0.6875,3.154,500
constrained_ols_av,pass,5,-0.6875,3.08,500
constrained_ols_av,pass,6,-0.6875,3.264,500
constrained_ols_av,pass,7,-0.6875,3.484,500
constrained_ols_av,pass,8,-0.6875,3.008,500
constrained_ols_av,pass,9,-0.6875,3.266,500
constrained_ols_av,pass,10,-0.6875,3.252,500
full_ols_av,pass,1,-1.5685,3.52,500
full_ols_av,pass,2,-1.1108,3.33,500
full_ols_av,pass,3,-0.8749,3.392,500
full_ols_av,pass,4,-0.6897,3.4,500
full_ols_av,pass,5,-0.5277,3.1,500
full_ols_av,pass,6,-0.3754,3.294,500
full_ols_av,pass,7,-0.2156,3.234,500
full_ols_av,pass,8,-0.0342,3.036,500
full_ols_av,pass,9,0.1923,3.052,500
full_ols_av,pass,10,0.6153,2.796,500
selected_ols_av,pass,1,-4.6257,3.398,500
selected_ols_av,pass,2,-3.1266,3.244,500
selected_ols_av,pass,3,-2.3602,3.554,500
selected_ols_av,pass,4,-1.7373,3.412,500
selected_ols_av,pass,5,-1.1496,3.188,500
selected_ols_av,pass,6,-0.5408,3.294,500
selected_ols_av,pass,7,0.0844,3.088,500
selected_ols_av,pass,8,0.754,3.088,500
selected_ols_av,pass,9,1.5371,2.964,500
selected_ols_av,pass,10,3.1197,2.924,500
selected_two_stage_av,pass,1,-1.4375,3.428,500
selected_two_stage_av,pass,2,-1.0292,3.518,500
selected_two_stage_av,pass,3,-0.8293,3.23,500
selected_two_stage_av,pass,4,-0.7137,3.088,500
selected_two_stage_av,pass,5,-0.4986,3.532,500
selected_two_stage_av,pass,6,-0.4361,3.232,500
selected_two_stage_av,pass,7,-0.2127,2.996,500
selected_two_stage_av,pass,8,-0.0948,3.066,500
selected_two_stage_av,pass,9,0.1263,3.026,500
selected_two_stage_av,pass,10,0.5144,3.038,500
