model,contract,residual_bin,count
constrained_ols_av,pass,-10.447,27
constrained_ols_av,pass,-9.946,0
constrained_ols_av,pass,-9.445,100
constrained_ols_av,pass,-8.944,0
constrained_ols_av,pass,-8.443,220
constrained_ols_av,pass,-7.942,0
constrained_ols_av,pass,-7.441,350
constrained_ols_av,pass,-6.94,0
constrained_ols_av,pass,-6.439,384
constrained_ols_av,pass,-5.938,506
constrained_ols_av,pass,-5.437,0
constrained_ols_av,pass,-4.936,704
constrained_ols_av,pass,-4.435,0
constrained_ols_av,pass,-3.934,633
constrained_ols_av,pass,-3.433,0
constrained_ols_av,pass,-2.932,476
constrained_ols_av,pass,-2.431,0
constrained_ols_av,pass,-1.93,196
constrained_ols_av,pass,-1.429,0
constrained_ols_av,pass,-0.928,1404
full_ols_av,pass,-11.3654,6
full_ols_av,pass,-10.6975,14
full_ols_av,pass,-10.0297,25
full_ols_av,pass,-9.3619,82
full_ols_av,pass,-8.6941,140
full_ols_av,pass,-8.0262,205
full_ols_av,pass,-7.3584,222
full_ols_av,pass,-6.6906,271
full_ols_av,pass,-6.0227,305
full_ols_av,pass,-5.3549,363
full_ols_av,pass,-4.6871,414
full_ols_av,pass,-4.0193,446
full_ols_av,pass,-3.3514,404
full_ols_av,pass,-2.6836,345
full_ols_av,pass,-2.0158,249
full_ols_av,pass,-1.3479,256
full_ols_av,pass,-0.6801,518
full_ols_av,pass,-0.0123,510
full_ols_av,pass,0.6556,199
full_ols_av,pass,1.3234,26
gbt_av,pass,-11.8865,2
gbt_av,pass,-11.1831,8
gbt_av,pass,-10.4797,20
gbt_av,pass,-9.7763,34
gbt_av,pass,-9.0729,122
gbt_av,pass,-8.3694,173
gbt_av,pass,-7.666,223
gbt_av,pass,-6.9626,260
gbt_av,pass,-6.2592,332
gbt_av,pass,-5.5558,350
gbt_av,pass,-4.8524,415
gbt_av,pass,-4.149,494
gbt_av,pass,-3.4456,427
gbt_av,pass,-2.7422,378
gbt_av,pass,-2.0387,279
gbt_av,pass,-1.3353,266
gbt_av,pass,-0.6319,493
gbt_av,pass,0.0715,517
gbt_av,pass,0.7749,191
gbt_av,pass,1.4783,16
selected_ols_av,pass,-15.0248,4
selected_ols_av,pass,-13.9469,4
selected_ols_av,pass,-12.8691,25
selected_ols_av,pass,-11.7912,55
selected_ols_av,pass,-10.7134,129
selected_ols_av,pass,-9.6355,207
selected_ols_av,pass,-8.5577,289
selected_ols_av,pass,-7.4798,380
selected_ols_av,pass,-6.402,469
selected_ols_av,pass,-5.3241,557
selected_ols_av,pass,-4.2463,546
selected_ols_av,pass,-3.1685,517
selected_ols_av,pass,-2.0906,509
selected_ols_av,pass,-1.0128,429
selected_ols_av,pass,0.0651,338
selected_ols_av,pass,1.1429,270
selected_ols_av,pass,2.2208,164
selected_ols_av,pass,3.2986,73
selected_ols_av,pass,4.3765,25
selected_ols_av,pass,5.4543,10
selected_two_stage_av,pass,-11.2558,6
selected_two_stage_av,pass,-10.604,14
selected_two_stage_av,pass,-9.9521,34
selected_two_stage_av,pass,-9.3003,98
selected_two_stage_av,pass,-8.6484,127
selected_two_stage_av,pass,-7.9966,203
selected_two_stage_av,pass,-7.3447,201
selected_two_stage_av,pass,-6.6929,291
selected_two_stage_av,pass,-6.0411,268
selected_two_stage_av,pass,-5.3892,325
selected_two_stage_av,pass,-4.7374,443
selected_two_stage_av,pass,-4.0855,401
selected_two_stage_av,pass,-3.4337,431
selected_two_stage_av,pass,-2.7818,304
selected_two_stage_av,pass,-2.13,306
selected_two_stage_av,pass,-1.4782,216
selected_two_stage_av,pass,-0.8263,412
selected_two_stage_av,pass,-0.1745,700
selected_two_stage_av,pass,0.4774,190
selected_two_stage_av,pass,1.1292,30
