model,contract,net_eppd,bid_rate,pass_rate,make_rate,source
modeloespecifico,suit,1.5099,1.0,0.0,0.9433,comparator
selected_two_stage_av,suit,2.1749,1.0,0.0,0.9913,comparator
gbt_av,suit,1.906,1.0,0.0,0.9775,comparator
full_ols_av,suit,2.4544,1.0,0.0,1.0,comparator
modeloespecifico,high,2.5444,1.0,0.0,0.9763,comparator
selected_two_stage_av,high,1.7661,1.0,0.0,1.0,comparator
gbt_av,high,2.4908,1.0,0.0,0.9837,comparator
full_ols_av,high,2.0614,1.0,0.0,1.0,comparator
modeloespecifico,low,2.1623,1.0,0.0,0.9693,comparator
selected_two_stage_av,low,1.7695,1.0,0.0,1.0,comparator
gbt_av,low,1.7943,1.0,0.0,0.9471,comparator
full_ols_av,low,1.982,1.0,0.0,1.0,comparator
modeloespecifico,pooled,1.6044,1.0,0.0,0.9468,comparator
selected_two_stage_av,pooled,1.954,1.0,0.0,0.996,comparator
gbt_av,pooled,1.939,0.9954,0.0046,0.9739,comparator
full_ols_av,pooled,2.298,1.0,0.0,1.0,comparator
