model,contract,feature_name,importance
gbt_av,high,bid_n,0.3164
gbt_av,high,bid_n_sq,0.5142
gbt_av,high,bowers,0.0
gbt_av,high,double_ten_jack_count,0.0007
gbt_av,high,fourth_suit_len,0.0007
gbt_av,high,hand_value,0.01
gbt_av,high,high_card_count,0.0036
gbt_av,high,highest_trump_rank,0.0
gbt_av,high,is_loner,0.0
gbt_av,high,is_moon,0.0
gbt_av,high,losing_tricks_count,0.0053
gbt_av,high,low_card_count,0.0039
gbt_av,high,max_suit_len,0.0088
gbt_av,high,num_doubletons,0.0019
gbt_av,high,num_singletons,0.0014
gbt_av,high,offsuit_aces,0.0191
gbt_av,high,offsuit_best_rank_sum,0.0142
gbt_av,high,offsuit_king_count_total,0.0036
gbt_av,high,offsuit_length_3plus_count,0.0009
gbt_av,high,offsuit_non_ace_count,0.0381
gbt_av,high,offsuit_queen_count_total,0.0045
gbt_av,high,offsuit_secondbest_rank_sum,0.0088
gbt_av,high,offsuit_suits_with_ace,0.0036
gbt_av,high,offsuit_suits_with_ace_and_king,0.0026
gbt_av,high,offsuit_suits_with_double_ace,0.0017
gbt_av,high,offsuit_tens_count,0.0046
gbt_av,high,quick_tricks,0.0278
gbt_av,high,second_highest_trump_rank,0.0
gbt_av,high,second_suit_len,0.0016
gbt_av,high,third_highest_trump_rank,0.0
gbt_av,high,third_suit_len,0.0013
gbt_av,high,trump_ace_count,0.0
gbt_av,high,trump_count,0.0
gbt_av,high,trump_count_x_offsuit_ace,0.0
gbt_av,high,trump_count_x_void_count,0.0
gbt_av,high,trump_duplicate_pairs,0.0
gbt_av,high,trump_king_count,0.0
gbt_av,high,trump_lb_count,0.0
gbt_av,high,trump_power_sum,0.0
gbt_av,high,trump_queen_count,0.0
gbt_av,high,trump_rb_count,0.0
gbt_av,high,trump_ten_count,0.0
gbt_av,high,void_count,0.0005
gbt_av,low,bid_n,0.2576
gbt_av,low,bid_n_sq,0.5804
gbt_av,low,bowers,0.0
gbt_av,low,double_ten_jack_count,0.001
gbt_av,low,fourth_suit_len,0.0011
gbt_av,low,hand_value,0.0109
gbt_av,low,high_card_count,0.0023
gbt_av,low,highest_trump_rank,0.0
gbt_av,low,is_loner,0.0
gbt_av,low,is_moon,0.0
gbt_av,low,losing_tricks_count,0.006
gbt_av,low,low_card_count,0.005
gbt_av,low,max_suit_len,0.0107
gbt_av,low,num_doubletons,0.0015
gbt_av,low,num_singletons,0.0017
gbt_av,low,offsuit_aces,0.0013
gbt_av,low,offsuit_best_rank_sum,0.0121
gbt_av,low,offsuit_king_count_total,0.0044
gbt_av,low,offsuit_length_3plus_count,0.0011
gbt_av,low,offsuit_non_ace_count,0.0016
gbt_av,low,offsuit_queen_count_total,0.0046
gbt_av,low,offsuit_secondbest_rank_sum,0.0082
gbt_av,low,offsuit_suits_with_ace,0.0028
gbt_av,low,offsuit_suits_with_ace_and_king,0.0026
gbt_av,low,offsuit_suits_with_double_ace,0.0015
gbt_av,low,offsuit_tens_count,0.0481
gbt_av,low,quick_tricks,0.0304
gbt_av,low,second_highest_trump_rank,0.0
gbt_av,low,second_suit_len,0.0017
gbt_av,low,third_highest_trump_rank,0.0
gbt_av,low,third_suit_len,0.001
gbt_av,low,trump_ace_count,0.0
gbt_av,low,trump_count,0.0
gbt_av,low,trump_count_x_offsuit_ace,0.0
gbt_av,low,trump_count_x_void_count,0.0
gbt_av,low,trump_duplicate_pairs,0.0
gbt_av,low,trump_king_count,0.0
gbt_av,low,trump_lb_count,0.0
gbt_av,low,trump_power_sum,0.0
gbt_av,low,trump_queen_count,0.0
gbt_av,low,trump_rb_count,0.0
gbt_av,low,trump_ten_count,0.0
gbt_av,low,void_count,0.0004
gbt_av,pass,bowers,0.0
gbt_av,pass,double_ten_jack_count,0.0194
gbt_av,pass,fourth_suit_len,0.0106
gbt_av,pass,hand_value,0.1058
gbt_av,pass,high_card_count,0.0325
gbt_av,pass,highest_trump_rank,0.0
gbt_av,pass,losing_tricks_count,0.0707
gbt_av,pass,low_card_count,0.0614
gbt_av,pass,max_suit_len,0.031
gbt_av,pass,num_doubletons,0.0225
gbt_av,pass,num_singletons,0.0254
gbt_av,pass,offsuit_aces,0.0208
gbt_av,pass,offsuit_best_rank_sum,0.122
gbt_av,pass,offsuit_king_count_total,0.0539
gbt_av,pass,offsuit_length_3plus_count,0.0114
gbt_av,pass,offsuit_non_ace_count,0.0321
gbt_av,pass,offsuit_queen_count_total,0.0633
gbt_av,pass,offsuit_secondbest_rank_sum,0.1014
gbt_av,pass,offsuit_suits_with_ace,0.025
gbt_av,pass,offsuit_suits_with_ace_and_king,0.0257
gbt_av,pass,offsuit_suits_with_double_ace,0.0123
gbt_av,pass,offsuit_tens_count,0.0757
gbt_av,pass,quick_tricks,0.0352
gbt_av,pass,second_highest_trump_rank,0.0
