model,contract,value,metric
modeloespecifico,pooled,4.6906,fullgame_eppd
modeloespecifico,suit,-0.16,net_eppd_delta
modeloespecifico,high,-0.6,net_eppd_delta
modeloespecifico,low,-0.1625,net_eppd_delta
selected_two_stage_av,pooled,4.6178,fullgame_eppd
selected_two_stage_av,suit,0.0367,net_eppd_delta
selected_two_stage_av,high,0.1786,net_eppd_delta
selected_two_stage_av,low,0.6042,net_eppd_delta
gbt_av,pooled,4.5768,fullgame_eppd
gbt_av,suit,0.0122,net_eppd_delta
gbt_av,high,-0.3237,net_eppd_delta
gbt_av,low,-0.5634,net_eppd_delta
constrained_ols_av,pooled,4.9528,fullgame_eppd
constrained_ols_av,suit,-0.0359,net_eppd_delta
constrained_ols_av,high,-0.4512,net_eppd_delta
constrained_ols_av,low,-0.0469,net_eppd_delta
selected_ols_av,pooled,4.94,fullgame_eppd
selected_ols_av,suit,0.0389,net_eppd_delta
selected_ols_av,high,-0.4872,net_eppd_delta
selected_ols_av,low,-0.3196,net_eppd_delta
full_ols_av,pooled,4.9592,fullgame_eppd
full_ols_av,suit,-0.0531,net_eppd_delta
full_ols_av,high,-0.2852,net_eppd_delta
full_ols_av,low,-0.2584,net_eppd_delta
stricthellraiser,pooled,2.2032,fullgame_eppd
stricthellraiser,suit,-0.2352,net_eppd_delta
rankthetank,pooled,-1.6218,fullgame_eppd
rankthetank,suit,0.4572,net_eppd_delta
anchor_hybrid_r0_full,pooled,3.5846,fullgame_eppd
anchor_hybrid_r0_full,suit,-0.2403,net_eppd_delta
anchor_hybrid_r0_full,high,-0.5468,net_eppd_delta
anchor_hybrid_r0_full,low,-0.4245,net_eppd_delta
