model,contract,rank,feature_name,importance
gbt_av,high,1,bid_n_sq,0.5142
gbt_av,high,2,bid_n,0.3164
gbt_av,high,3,offsuit_non_ace_count,0.0381
gbt_av,high,4,quick_tricks,0.0278
gbt_av,high,5,offsuit_aces,0.0191
gbt_av,high,6,offsuit_best_rank_sum,0.0142
gbt_av,high,7,hand_value,0.01
gbt_av,high,8,offsuit_secondbest_rank_sum,0.0088
gbt_av,high,9,max_suit_len,0.0088
gbt_av,high,10,losing_tricks_count,0.0053
gbt_av,high,11,offsuit_tens_count,0.0046
gbt_av,high,12,offsuit_queen_count_total,0.0045
gbt_av,high,13,low_card_count,0.0039
gbt_av,high,14,offsuit_suits_with_ace,0.0036
gbt_av,high,15,offsuit_king_count_total,0.0036
gbt_av,high,16,high_card_count,0.0036
gbt_av,high,17,offsuit_suits_with_ace_and_king,0.0026
gbt_av,high,18,num_doubletons,0.0019
gbt_av,high,19,offsuit_suits_with_double_ace,0.0017
gbt_av,high,20,second_suit_len,0.0016
gbt_av,high,21,num_singletons,0.0014
gbt_av,high,22,third_suit_len,0.0013
gbt_av,high,23,offsuit_length_3plus_count,0.0009
gbt_av,high,24,double_ten_jack_count,0.0007
gbt_av,high,25,fourth_suit_len,0.0007
gbt_av,high,26,void_count,0.0005
gbt_av,high,27,bowers,0.0
gbt_av,high,28,highest_trump_rank,0.0
gbt_av,high,29,is_loner,0.0
gbt_av,high,30,is_moon,0.0
gbt_av,high,31,second_highest_trump_rank,0.0
gbt_av,high,32,third_highest_trump_rank,0.0
gbt_av,high,33,trump_ace_count,0.0
gbt_av,high,34,trump_count,0.0
gbt_av,high,35,trump_count_x_offsuit_ace,0.0
gbt_av,high,36,trump_count_x_void_count,0.0
gbt_av,high,37,trump_duplicate_pairs,0.0
gbt_av,high,38,trump_king_count,0.0
gbt_av,high,39,trump_lb_count,0.0
gbt_av,high,40,trump_power_sum,0.0
gbt_av,high,41,trump_queen_count,0.0
gbt_av,high,42,trump_rb_count,0.0
gbt_av,high,43,trump_ten_count,0.0
gbt_av,low,1,bid_n_sq,0.5804
gbt_av,low,2,bid_n,0.2576
gbt_av,low,3,offsuit_tens_count,0.0481
gbt_av,low,4,quick_tricks,0.0304
gbt_av,low,5,offsuit_best_rank_sum,0.0121
gbt_av,low,6,hand_value,0.0109
gbt_av,low,7,max_suit_len,0.0107
gbt_av,low,8,offsuit_secondbest_rank_sum,0.0082
gbt_av,low,9,losing_tricks_count,0.006
gbt_av,low,10,low_card_count,0.005
gbt_av,low,11,offsuit_queen_count_total,0.0046
gbt_av,low,12,offsuit_king_count_total,0.0044
gbt_av,low,13,offsuit_suits_with_ace,0.0028
gbt_av,low,14,offsuit_suits_with_ace_and_king,0.0026
gbt_av,low,15,high_card_count,0.0023
gbt_av,low,16,num_singletons,0.0017
gbt_av,low,17,second_suit_len,0.0017
gbt_av,low,18,offsuit_non_ace_count,0.0016
gbt_av,low,19,offsuit_suits_with_double_ace,0.0015
gbt_av,low,20,num_doubletons,0.0015
gbt_av,low,21,offsuit_aces,0.0013
gbt_av,low,22,fourth_suit_len,0.0011
gbt_av,low,23,offsuit_length_3plus_count,0.0011
gbt_av,low,24,third_suit_len,0.001
gbt_av,low,25,double_ten_jack_count,0.001
gbt_av,low,26,void_count,0.0004
gbt_av,low,27,bowers,0.0
gbt_av,low,28,highest_trump_rank,0.0
gbt_av,low,29,is_loner,0.0
gbt_av,low,30,is_moon,0.0
gbt_av,low,31,second_highest_trump_rank,0.0
gbt_av,low,32,third_highest_trump_rank,0.0
gbt_av,low,33,trump_ace_count,0.0
gbt_av,low,34,trump_count,0.0
gbt_av,low,35,trump_count_x_offsuit_ace,0.0
gbt_av,low,36,trump_count_x_void_count,0.0
gbt_av,low,37,trump_duplicate_pairs,0.0
gbt_av,low,38,trump_king_count,0.0
gbt_av,low,39,trump_lb_count,0.0
gbt_av,low,40,trump_power_sum,0.0
gbt_av,low,41,trump_queen_count,0.0
gbt_av,low,42,trump_rb_count,0.0
gbt_av,low,43,trump_ten_count,0.0
gbt_av,pass,1,offsuit_best_rank_sum,0.122
gbt_av,pass,2,hand_value,0.1058
gbt_av,pass,3,offsuit_secondbest_rank_sum,0.1014
gbt_av,pass,4,offsuit_tens_count,0.0757
gbt_av,pass,5,losing_tricks_count,0.0707
gbt_av,pass,6,offsuit_queen_count_total,0.0633
gbt_av,pass,7,low_card_count,0.0614
gbt_av,pass,8,offsuit_king_count_total,0.0539
gbt_av,pass,9,quick_tricks,0.0352
gbt_av,pass,10,high_card_count,0.0325
gbt_av,pass,11,offsuit_non_ace_count,0.0321
gbt_av,pass,12,max_suit_len,0.031
gbt_av,pass,13,offsuit_suits_with_ace_and_king,0.0257
gbt_av,pass,14,num_singletons,0.0254
gbt_av,pass,15,offsuit_suits_with_ace,0.025
gbt_av,pass,16,num_doubletons,0.0225
gbt_av,pass,17,second_suit_len,0.0209
gbt_av,pass,18,offsuit_aces,0.0208
gbt_av,pass,19,double_ten_jack_count,0.0194
gbt_av,pass,20,offsuit_suits_with_double_ace,0.0123
gbt_av,pass,21,offsuit_length_3plus_count,0.0114
gbt_av,pass,22,third_suit_len,0.0107
gbt_av,pass,23,fourth_suit_len,0.0106
gbt_av,pass,24,void_count,0.0101
gbt_av,pass,25,bowers,0.0
gbt_av,pass,26,highest_trump_rank,0.0
gbt_av,pass,27,second_highest_trump_rank,0.0
gbt_av,pass,28,third_highest_trump_rank,0.0
gbt_av,pass,29,trump_ace_count,0.0
gbt_av,pass,30,trump_count,0.0
gbt_av,pass,31,trump_count_x_offsuit_ace,0.0
gbt_av,pass,32,trump_count_x_void_count,0.0
gbt_av,pass,33,trump_duplicate_pairs,0.0
gbt_av,pass,34,trump_king_count,0.0
gbt_av,pass,35,trump_lb_count,0.0
gbt_av,pass,36,trump_power_sum,0.0
gbt_av,pass,37,trump_queen_count,0.0
gbt_av,pass,38,trump_rb_count,0.0
gbt_av,pass,39,trump_ten_count,0.0
gbt_av,suit,1,bid_n,0.4846
gbt_av,suit,2,bid_n_sq,0.3883
gbt_av,suit,3,offsuit_non_ace_count,0.0401
gbt_av,suit,4,hand_value,0.0312
gbt_av,suit,5,trump_power_sum,0.0094
gbt_av,suit,6,quick_tricks,0.0086
gbt_av,suit,7,second_highest_trump_rank,0.0031
gbt_av,suit,8,trump_count_x_offsuit_ace,0.003
gbt_av,suit,9,bowers,0.0028
gbt_av,suit,10,third_highest_trump_rank,0.0024
gbt_av,suit,11,offsuit_suits_with_ace,0.0022
gbt_av,suit,12,losing_tricks_count,0.002
gbt_av,suit,13,offsuit_best_rank_sum,0.002
gbt_av,suit,14,third_suit_len,0.0018
gbt_av,suit,15,low_card_count,0.0018
gbt_av,suit,16,offsuit_secondbest_rank_sum,0.0017
gbt_av,suit,17,offsuit_king_count_total,0.0016
gbt_av,suit,18,highest_trump_rank,0.0015
gbt_av,suit,19,offsuit_queen_count_total,0.0012
gbt_av,suit,20,offsuit_suits_with_double_ace,0.0011
gbt_av,suit,21,high_card_count,0.0011
gbt_av,suit,22,trump_count_x_void_count,0.0009
gbt_av,suit,23,offsuit_tens_count,0.0009
gbt_av,suit,24,trump_rb_count,0.0008
gbt_av,suit,25,max_suit_len,0.0006
gbt_av,suit,26,second_suit_len,0.0006
gbt_av,suit,27,trump_queen_count,0.0005
gbt_av,suit,28,trump_ace_count,0.0005
gbt_av,suit,29,trump_lb_count,0.0004
gbt_av,suit,30,trump_ten_count,0.0004
gbt_av,suit,31,trump_king_count,0.0004
gbt_av,suit,32,offsuit_aces,0.0003
gbt_av,suit,33,trump_duplicate_pairs,0.0003
gbt_av,suit,34,offsuit_suits_with_ace_and_king,0.0003
gbt_av,suit,35,num_doubletons,0.0003
gbt_av,suit,36,void_count,0.0003
gbt_av,suit,37,num_singletons,0.0003
gbt_av,suit,38,double_ten_jack_count,0.0002
gbt_av,suit,39,trump_count,0.0002
gbt_av,suit,40,offsuit_length_3plus_count,0.0001
gbt_av,suit,41,fourth_suit_len,0.0
gbt_av,suit,42,is_loner,0.0
gbt_av,suit,43,is_moon,0.0
selected_ols_av,high,1,bid_n_sq,0.4747
selected_ols_av,high,2,quick_tricks,0.5188
selected_ols_av,high,3,max_suit_len,0.5207
selected_ols_av,low,1,bid_n_sq,0.4735
selected_ols_av,low,2,quick_tricks,0.5091
selected_ols_av,low,3,max_suit_len,0.5108
selected_ols_av,pass,1,offsuit_non_ace_count,0.0092
selected_ols_av,pass,2,low_card_count,0.013
selected_ols_av,suit,1,bid_n_sq,0.5084
selected_ols_av,suit,2,offsuit_non_ace_count,0.5465
selected_ols_av,suit,3,bowers,0.5529
selected_ols_av,suit,4,losing_tricks_count,0.5547
selected_two_stage_av,high,1,bid_n_sq,0.4747
selected_two_stage_av,high,2,quick_tricks,0.5188
selected_two_stage_av,high,3,max_suit_len,0.5207
selected_two_stage_av,low,1,bid_n_sq,0.4735
selected_two_stage_av,low,2,quick_tricks,0.5091
selected_two_stage_av,low,3,max_suit_len,0.5108
selected_two_stage_av,pass,1,offsuit_non_ace_count,0.0092
selected_two_stage_av,pass,2,low_card_count,0.013
selected_two_stage_av,suit,1,bid_n_sq,0.5084
selected_two_stage_av,suit,2,offsuit_non_ace_count,0.5465
selected_two_stage_av,suit,3,bowers,0.5529
selected_two_stage_av,suit,4,losing_tricks_count,0.5547
