model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.2691,0.466,4
anchor_hybrid_r0_full,heuristic,4.606,0.6147,3
constrained_ols_av,smart,-0.3497,0.3615,3
constrained_ols_av,anchor,-0.0548,0.3684,1
constrained_ols_av,heuristic,3.4712,0.494,3
full_ols_av,smart,-0.3065,0.3667,3
full_ols_av,anchor,0.0056,0.3748,1
full_ols_av,heuristic,3.5141,0.4992,3
gbt_av,smart,1.0959,0.5829,4
gbt_av,anchor,0.8724,0.5264,1
gbt_av,heuristic,4.7984,0.6492,3
modeloespecifico,smart,0.8378,0.5666,4
modeloespecifico,anchor,0.232,0.4548,1
modeloespecifico,heuristic,7.536,0.7172,2
rankthetank,smart,-10.52,0.1024,4
rankthetank,anchor,-10.4936,0.1024,1
rankthetank,heuristic,0.7938,0.5086,2
selected_ols_av,smart,-0.2725,0.3708,3
selected_ols_av,anchor,-0.0188,0.374,1
selected_ols_av,heuristic,3.4897,0.4961,3
selected_two_stage_av,smart,0.6984,0.5537,3
selected_two_stage_av,anchor,0.0764,0.416,1
selected_two_stage_av,heuristic,4.2585,0.59,3
stricthellraiser,smart,-2.0094,0.3967,4
stricthellraiser,anchor,-4.5468,0.308,1
stricthellraiser,heuristic,-8.83,0.2102,2
