check_name,scope,value,threshold,status,detail
h2h_cells_populated,h2h,81.0,81.0,PASS,81/81 cells have metrics
h2h_min_deals,h2h,50.0,10.0,PASS,Minimum deals across cells: 50
comparator_bidders_present,comparator,8.0,2.0,PASS,8 bidders in comparator
r2_positive_constrained_ols_av_suit,training,0.5345,0.0,PASS,constrained_ols_av suit R²=0.5345
r2_positive_constrained_ols_av_high,training,0.3601,0.0,PASS,constrained_ols_av high R²=0.3601
r2_positive_constrained_ols_av_low,training,0.1855,0.0,PASS,constrained_ols_av low R²=0.1855
r2_positive_constrained_ols_av_pass,training,-0.1923,0.0,WARN,constrained_ols_av pass R²=-0.1923
r2_positive_full_ols_av_suit,training,0.3912,0.0,PASS,full_ols_av suit R²=0.3912
r2_positive_full_ols_av_high,training,0.2936,0.0,PASS,full_ols_av high R²=0.2936
r2_positive_full_ols_av_low,training,-0.1678,0.0,WARN,full_ols_av low R²=-0.1678
r2_positive_full_ols_av_pass,training,-1.0305,0.0,WARN,full_ols_av pass R²=-1.0305
r2_positive_gbt_av_suit,training,0.3359,0.0,PASS,gbt_av suit R²=0.3359
r2_positive_gbt_av_high,training,0.4812,0.0,PASS,gbt_av high R²=0.4812
r2_positive_gbt_av_low,training,0.0124,0.0,PASS,gbt_av low R²=0.0124
r2_positive_gbt_av_pass,training,-0.8131,0.0,WARN,gbt_av pass R²=-0.8131
r2_positive_selected_ols_av_suit,training,0.4653,0.0,PASS,selected_ols_av suit R²=0.4653
r2_positive_selected_ols_av_high,training,0.4512,0.0,PASS,selected_ols_av high R²=0.4512
r2_positive_selected_ols_av_low,training,0.1552,0.0,PASS,selected_ols_av low R²=0.1552
r2_positive_selected_ols_av_pass,training,-1.1305,0.0,WARN,selected_ols_av pass R²=-1.1305
r2_positive_selected_two_stage_av_suit,training,0.0,0.0,WARN,selected_two_stage_av suit R²=0.0000
r2_positive_selected_two_stage_av_high,training,0.4512,0.0,PASS,selected_two_stage_av high R²=0.4512
r2_positive_selected_two_stage_av_low,training,0.1552,0.0,PASS,selected_two_stage_av low R²=0.1552
r2_positive_selected_two_stage_av_pass,training,-1.1305,0.0,WARN,selected_two_stage_av pass R²=-1.1305
