model,contract,rank,feature_name,importance
gbt_av,high,1,bid_n_sq,0.5417
gbt_av,high,2,bid_n,0.3261
gbt_av,high,3,quick_tricks,0.0425
gbt_av,high,4,offsuit_non_ace_count,0.0306
gbt_av,high,5,offsuit_aces,0.0148
gbt_av,high,6,max_suit_len,0.0079
gbt_av,high,7,partner_level_high,0.0078
gbt_av,high,8,offsuit_best_rank_sum,0.0043
gbt_av,high,9,hand_value,0.0037
gbt_av,high,10,high_card_count,0.0021
gbt_av,high,11,partner_passed,0.002
gbt_av,high,12,offsuit_secondbest_rank_sum,0.0015
gbt_av,high,13,offsuit_suits_with_ace,0.0014
gbt_av,high,14,auction_position,0.0013
gbt_av,high,15,opp_right_level_high,0.0011
gbt_av,high,16,partner_level_low,0.0009
gbt_av,high,17,offsuit_queen_count_total,0.0008
gbt_av,high,18,second_suit_len,0.0008
gbt_av,high,19,offsuit_tens_count,0.0007
gbt_av,high,20,offsuit_suits_with_ace_and_king,0.0007
gbt_av,high,21,losing_tricks_count,0.0007
gbt_av,high,22,offsuit_suits_with_double_ace,0.0007
gbt_av,high,23,opp_right_level_low,0.0006
gbt_av,high,24,low_card_count,0.0005
gbt_av,high,25,offsuit_king_count_total,0.0005
gbt_av,high,26,offsuit_length_3plus_count,0.0004
gbt_av,high,27,opp_left_level_high,0.0004
gbt_av,high,28,fourth_suit_len,0.0003
gbt_av,high,29,seat_rel_2,0.0003
gbt_av,high,30,opp_right_passed,0.0003
gbt_av,high,31,seat_rel_3,0.0003
gbt_av,high,32,current_high_bid,0.0003
gbt_av,high,33,num_singletons,0.0003
gbt_av,high,34,num_doubletons,0.0002
gbt_av,high,35,opp_left_passed,0.0002
gbt_av,high,36,opp_left_level_low,0.0002
gbt_av,high,37,seat_rel_1,0.0002
gbt_av,high,38,void_count,0.0002
gbt_av,high,39,third_suit_len,0.0002
gbt_av,high,40,is_dealer,0.0001
gbt_av,high,41,double_ten_jack_count,0.0001
gbt_av,high,42,bowers,0.0
gbt_av,high,43,highest_trump_rank,0.0
gbt_av,high,44,is_high,0.0
gbt_av,high,45,is_loner,0.0
gbt_av,high,46,is_low,0.0
gbt_av,high,47,is_moon,0.0
gbt_av,high,48,opp_left_level_off_color,0.0
gbt_av,high,49,opp_left_level_same_color,0.0
gbt_av,high,50,opp_left_level_same_suit,0.0
gbt_av,high,51,opp_right_level_off_color,0.0
gbt_av,high,52,opp_right_level_same_color,0.0
gbt_av,high,53,opp_right_level_same_suit,0.0
gbt_av,high,54,partner_level_off_color,0.0
gbt_av,high,55,partner_level_same_color,0.0
gbt_av,high,56,partner_level_same_suit,0.0
gbt_av,high,57,second_highest_trump_rank,0.0
gbt_av,high,58,third_highest_trump_rank,0.0
gbt_av,high,59,trump_C,0.0
gbt_av,high,60,trump_D,0.0
gbt_av,high,61,trump_H,0.0
gbt_av,high,62,trump_S,0.0
gbt_av,high,63,trump_ace_count,0.0
gbt_av,high,64,trump_count,0.0
gbt_av,high,65,trump_count_x_offsuit_ace,0.0
gbt_av,high,66,trump_count_x_void_count,0.0
gbt_av,high,67,trump_duplicate_pairs,0.0
gbt_av,high,68,trump_king_count,0.0
gbt_av,high,69,trump_lb_count,0.0
gbt_av,high,70,trump_power_sum,0.0
gbt_av,high,71,trump_queen_count,0.0
gbt_av,high,72,trump_rb_count,0.0
gbt_av,high,73,trump_ten_count,0.0
gbt_av,low,1,bid_n,0.5439
gbt_av,low,2,bid_n_sq,0.3213
gbt_av,low,3,offsuit_tens_count,0.0444
gbt_av,low,4,quick_tricks,0.042
gbt_av,low,5,partner_level_low,0.0115
gbt_av,low,6,max_suit_len,0.0076
gbt_av,low,7,offsuit_best_rank_sum,0.0051
gbt_av,low,8,low_card_count,0.0034
gbt_av,low,9,hand_value,0.0033
gbt_av,low,10,auction_position,0.0022
gbt_av,low,11,offsuit_secondbest_rank_sum,0.0018
gbt_av,low,12,opp_right_level_low,0.0018
gbt_av,low,13,offsuit_queen_count_total,0.0009
gbt_av,low,14,losing_tricks_count,0.0009
