model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
modeloespecifico,modeloespecifico,pooled,-0.1724,-0.3716,0.0256,0.4204,2500
modeloespecifico,modeloespecifico,suit,-0.16,-0.3681,0.0438,0.4209,2350
modeloespecifico,modeloespecifico,high,-0.6,-1.9714,0.8,0.4429,70
modeloespecifico,modeloespecifico,low,-0.1625,-1.4125,1.05,0.3875,80
modeloespecifico,modeloespecifico,bid_type:regular,-0.1724,-0.3716,0.0256,0.4204,2500
modeloespecifico,selected_two_stage_av,pooled,0.08,-0.1312,0.2948,0.4304,2500
modeloespecifico,selected_two_stage_av,suit,0.0617,-0.1539,0.2798,0.426,2366
modeloespecifico,selected_two_stage_av,high,-0.4909,-2.2005,1.2,0.4727,55
modeloespecifico,selected_two_stage_av,low,1.0253,-0.2405,2.2785,0.5316,79
modeloespecifico,selected_two_stage_av,bid_type:regular,0.08,-0.1312,0.2948,0.4304,2500
selected_two_stage_av,modeloespecifico,pooled,-0.3608,-0.5648,-0.1544,0.4368,2500
selected_two_stage_av,modeloespecifico,suit,-0.3013,-0.5147,-0.0897,0.4422,2386
selected_two_stage_av,modeloespecifico,high,-2.0435,-3.6087,-0.4348,0.3043,46
selected_two_stage_av,modeloespecifico,low,-1.3088,-2.5,-0.1324,0.3382,68
selected_two_stage_av,modeloespecifico,bid_type:regular,-0.3608,-0.5648,-0.1544,0.4368,2500
modeloespecifico,gbt_av,pooled,-0.878,-1.0944,-0.652,0.32,2500
modeloespecifico,gbt_av,suit,-0.733,-0.978,-0.4844,0.3483,1955
modeloespecifico,gbt_av,high,-2.3693,-3.182,-1.5568,0.1875,176
modeloespecifico,gbt_av,low,-0.935,-1.6152,-0.2412,0.2331,369
modeloespecifico,gbt_av,bid_type:regular,-0.878,-1.0944,-0.652,0.32,2500
gbt_av,modeloespecifico,pooled,0.6512,0.4204,0.8772,0.5652,2500
gbt_av,modeloespecifico,suit,0.5398,0.2927,0.7961,0.5327,1971
gbt_av,modeloespecifico,high,1.954,1.0977,2.7701,0.7126,174
gbt_av,modeloespecifico,low,0.631,-0.1099,1.3437,0.6732,355
gbt_av,modeloespecifico,bid_type:regular,0.6512,0.4204,0.8772,0.5652,2500
modeloespecifico,constrained_ols_av,pooled,1.1172,0.9324,1.3012,0.6128,2500
modeloespecifico,constrained_ols_av,suit,1.1856,0.9924,1.3802,0.6234,2225
modeloespecifico,constrained_ols_av,high,0.044,-1.1541,1.2308,0.5385,91
modeloespecifico,constrained_ols_av,low,0.8207,0.1141,1.5435,0.5217,184
modeloespecifico,constrained_ols_av,bid_type:regular,1.1172,0.9324,1.3012,0.6128,2500
constrained_ols_av,modeloespecifico,pooled,-1.3592,-1.5348,-1.1776,0.2216,2500
constrained_ols_av,modeloespecifico,suit,-1.3724,-1.5599,-1.1808,0.2111,2245
constrained_ols_av,modeloespecifico,high,-1.8026,-2.9868,-0.5921,0.3026,76
constrained_ols_av,modeloespecifico,low,-1.0056,-1.7207,-0.2626,0.3184,179
constrained_ols_av,modeloespecifico,bid_type:regular,-1.3592,-1.5348,-1.1776,0.2216,2500
modeloespecifico,selected_ols_av,pooled,0.7964,0.6088,0.9876,0.5692,2500
modeloespecifico,selected_ols_av,suit,0.892,0.6901,1.0944,0.5866,2194
modeloespecifico,selected_ols_av,high,-0.7434,-1.8142,0.3363,0.4159,113
