model,contract,deals,fraction
modeloespecifico,suit,2350,0.94
modeloespecifico,high,70,0.028
modeloespecifico,low,80,0.032
selected_two_stage_av,suit,2435,0.974
selected_two_stage_av,high,17,0.0068
selected_two_stage_av,low,48,0.0192
gbt_av,suit,1935,0.774
gbt_av,high,228,0.0912
gbt_av,low,337,0.1348
constrained_ols_av,suit,2347,0.9388
constrained_ols_av,high,41,0.0164
constrained_ols_av,low,112,0.0448
selected_ols_av,suit,2409,0.9636
selected_ols_av,high,40,0.016
selected_ols_av,low,51,0.0204
full_ols_av,suit,2406,0.9624
full_ols_av,high,58,0.0232
full_ols_av,low,36,0.0144
stricthellraiser,suit,2500,1.0
stricthellraiser,high,0,0.0
stricthellraiser,low,0,0.0
rankthetank,suit,2500,1.0
rankthetank,high,0,0.0
rankthetank,low,0,0.0
anchor_hybrid_r0_full,suit,1598,0.7686
anchor_hybrid_r0_full,high,203,0.0976
anchor_hybrid_r0_full,low,278,0.1337
