model,bid_type,count,bid_rate,make_rate,mean_net_points,source
modeloespecifico,regular,2500,1.0,0.9496,1.6608,comparator
selected_two_stage_av,regular,2314,0.9256,0.9892,1.7724,comparator
gbt_av,regular,2130,0.852,0.9953,2.1136,comparator
constrained_ols_av,regular,2500,1.0,1.0,1.8152,comparator
selected_ols_av,regular,2500,1.0,0.9996,1.4908,comparator
full_ols_av,regular,2429,0.9716,1.0,1.972,comparator
stricthellraiser,regular,2500,1.0,0.9472,0.1096,comparator
rankthetank,regular,2500,1.0,0.1476,-9.6972,comparator
modeloespecifico,regular,2500,0.488,0.9287,4.6906,h2h_self_play
selected_two_stage_av,regular,2500,0.4936,0.9384,4.7558,h2h_self_play
gbt_av,regular,2500,0.4972,0.9654,4.8606,h2h_self_play
constrained_ols_av,regular,2500,0.5044,0.9984,4.998,h2h_self_play
selected_ols_av,regular,2500,0.4944,0.996,4.9914,h2h_self_play
full_ols_av,regular,2500,0.5064,0.9984,4.9982,h2h_self_play
stricthellraiser,regular,2500,0.5072,0.4306,2.2032,h2h_self_play
rankthetank,regular,2500,0.4756,0.1102,-1.6218,h2h_self_play
anchor_hybrid_r0_full,regular,2500,0.4024,0.8539,3.5846,h2h_self_play
