model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
modeloespecifico,modeloespecifico,pooled,-0.1724,-0.3716,0.0256,0.4204,2500
modeloespecifico,modeloespecifico,suit,-0.16,-0.3681,0.0438,0.4209,2350
modeloespecifico,modeloespecifico,high,-0.6,-1.9714,0.8,0.4429,70
modeloespecifico,modeloespecifico,low,-0.1625,-1.4125,1.05,0.3875,80
modeloespecifico,selected_two_stage_av,pooled,0.9748,0.7896,1.1616,0.5716,2500
modeloespecifico,selected_two_stage_av,suit,0.9174,0.7147,1.1166,0.5658,2324
modeloespecifico,selected_two_stage_av,high,1.2857,-0.1,2.6286,0.6857,70
modeloespecifico,selected_two_stage_av,low,2.0283,1.066,2.9245,0.6226,106
selected_two_stage_av,modeloespecifico,pooled,-1.206,-1.3872,-1.0176,0.26,2500
selected_two_stage_av,modeloespecifico,suit,-1.089,-1.2817,-0.8968,0.2675,2325
selected_two_stage_av,modeloespecifico,high,-2.8657,-3.9403,-1.7612,0.1642,67
selected_two_stage_av,modeloespecifico,low,-2.6944,-3.5558,-1.787,0.1574,108
modeloespecifico,gbt_av,pooled,0.2496,0.0492,0.458,0.4976,2500
modeloespecifico,gbt_av,suit,0.6563,0.4338,0.8715,0.5384,2086
modeloespecifico,gbt_av,high,-1.8889,-2.7121,-1.0455,0.2727,198
modeloespecifico,gbt_av,low,-1.7176,-2.4583,-0.9769,0.3102,216
gbt_av,modeloespecifico,pooled,-0.4248,-0.6256,-0.224,0.3676,2500
gbt_av,modeloespecifico,suit,-0.8381,-1.0519,-0.6218,0.322,2118
gbt_av,modeloespecifico,high,2.0212,1.1958,2.8201,0.6667,189
gbt_av,modeloespecifico,low,1.715,0.9119,2.5233,0.5751,193
modeloespecifico,constrained_ols_av,pooled,1.7664,1.5912,1.9348,0.6832,2500
modeloespecifico,constrained_ols_av,suit,1.7564,1.5799,1.9378,0.6843,2233
modeloespecifico,constrained_ols_av,high,1.1765,-0.0588,2.3529,0.6941,85
modeloespecifico,constrained_ols_av,low,2.1648,1.5495,2.7527,0.6648,182
constrained_ols_av,modeloespecifico,pooled,-1.9376,-2.1092,-1.7664,0.1316,2500
constrained_ols_av,modeloespecifico,suit,-1.8666,-2.0416,-1.6837,0.1294,2257
constrained_ols_av,modeloespecifico,high,-3.1757,-4.1351,-2.1351,0.1351,74
constrained_ols_av,modeloespecifico,low,-2.3432,-3.0118,-1.645,0.1598,169
modeloespecifico,selected_ols_av,pooled,1.8248,1.6536,1.9924,0.688,2500
modeloespecifico,selected_ols_av,suit,1.83,1.6533,2.0063,0.6911,2224
modeloespecifico,selected_ols_av,high,1.093,-0.1279,2.2558,0.686,86
modeloespecifico,selected_ols_av,low,2.0947,1.5104,2.6737,0.6526,190
selected_ols_av,modeloespecifico,pooled,-1.9796,-2.1484,-1.8112,0.126,2500
selected_ols_av,modeloespecifico,suit,-1.9165,-2.0928,-1.7358,0.1226,2252
selected_ols_av,modeloespecifico,high,-2.6875,-3.6878,-1.6375,0.175,80
selected_ols_av,modeloespecifico,low,-2.4881,-3.1548,-1.8036,0.1488,168
modeloespecifico,full_ols_av,pooled,1.7448,1.5736,1.916,0.682,2500
modeloespecifico,full_ols_av,suit,1.7211,1.5355,1.9061,0.6826,2237
modeloespecifico,full_ols_av,high,1.011,-0.1099,2.1099,0.6484,91
