model,check_name,value,lower_bound,upper_bound,status
modeloespecifico,bid_rate_range,1.0,0.05,0.95,FAIL
modeloespecifico,make_rate_range,0.9496,0.1,1.0,PASS
selected_two_stage_av,bid_rate_range,0.9256,0.05,0.95,PASS
selected_two_stage_av,make_rate_range,0.9892,0.1,1.0,PASS
gbt_av,bid_rate_range,0.852,0.05,0.95,PASS
gbt_av,make_rate_range,0.9953,0.1,1.0,PASS
constrained_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
constrained_ols_av,make_rate_range,1.0,0.1,1.0,PASS
selected_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
selected_ols_av,make_rate_range,0.9996,0.1,1.0,PASS
full_ols_av,bid_rate_range,0.9716,0.05,0.95,FAIL
full_ols_av,make_rate_range,1.0,0.1,1.0,PASS
stricthellraiser,bid_rate_range,1.0,0.05,0.95,FAIL
stricthellraiser,make_rate_range,0.9472,0.1,1.0,PASS
rankthetank,bid_rate_range,1.0,0.05,0.95,FAIL
rankthetank,make_rate_range,0.1476,0.1,1.0,PASS
constrained_ols_av,r2_positive_high,0.3233,0.0,1.0,PASS
constrained_ols_av,r2_positive_low,0.3244,0.0,1.0,PASS
constrained_ols_av,r2_positive_pass,0.0058,0.0,1.0,PASS
constrained_ols_av,r2_positive_suit,0.5566,0.0,1.0,PASS
full_ols_av,r2_positive_high,0.3927,0.0,1.0,PASS
full_ols_av,r2_positive_low,0.3934,0.0,1.0,PASS
full_ols_av,r2_positive_pass,0.0224,0.0,1.0,PASS
full_ols_av,r2_positive_suit,0.5689,0.0,1.0,PASS
gbt_av,r2_positive_high,0.4763,0.0,1.0,PASS
gbt_av,r2_positive_low,0.4588,0.0,1.0,PASS
gbt_av,r2_positive_pass,0.0026,0.0,1.0,PASS
gbt_av,r2_positive_suit,0.6208,0.0,1.0,PASS
selected_ols_av,r2_positive_high,0.3841,0.0,1.0,PASS
selected_ols_av,r2_positive_low,0.3845,0.0,1.0,PASS
selected_ols_av,r2_positive_pass,0.0082,0.0,1.0,PASS
selected_ols_av,r2_positive_suit,0.5553,0.0,1.0,PASS
selected_two_stage_av,r2_positive_high,0.3841,0.0,1.0,PASS
selected_two_stage_av,r2_positive_low,0.3845,0.0,1.0,PASS
selected_two_stage_av,r2_positive_pass,0.0082,0.0,1.0,PASS
selected_two_stage_av,r2_positive_suit,0.0,0.0,1.0,FAIL
