model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.76,0.44,4
anchor_hybrid_r0_full,heuristic,4.1933,0.62,3
constrained_ols_av,smart,0.46,0.4533,3
constrained_ols_av,anchor,-1.62,0.24,1
constrained_ols_av,heuristic,2.96,0.48,3
full_ols_av,smart,0.58,0.5667,3
full_ols_av,anchor,-1.62,0.38,1
full_ols_av,heuristic,1.3533,0.56,3
gbt_av,smart,-0.915,0.58,4
gbt_av,anchor,-2.32,0.5,1
gbt_av,heuristic,3.8267,0.6867,3
modeloespecifico,smart,0.14,0.49,4
modeloespecifico,anchor,-1.18,0.36,1
modeloespecifico,heuristic,6.93,0.7,2
rankthetank,smart,-10.08,0.115,4
rankthetank,anchor,-11.34,0.06,1
rankthetank,heuristic,-0.35,0.46,2
selected_ols_av,smart,-1.3667,0.3267,3
selected_ols_av,anchor,-2.14,0.26,1
selected_ols_av,heuristic,2.6733,0.5333,3
selected_two_stage_av,smart,-0.9067,0.3467,3
selected_two_stage_av,anchor,-2.42,0.26,1
selected_two_stage_av,heuristic,2.7467,0.5333,3
stricthellraiser,smart,-1.565,0.365,4
stricthellraiser,anchor,-6.28,0.2,1
stricthellraiser,heuristic,-9.31,0.18,2
