model,contract,deals,fraction
modeloespecifico,suit,28248,0.9416
modeloespecifico,high,837,0.0279
modeloespecifico,low,915,0.0305
selected_two_stage_av,suit,29011,0.967
selected_two_stage_av,high,366,0.0122
selected_two_stage_av,low,623,0.0208
gbt_av,suit,21884,0.7295
gbt_av,high,2998,0.0999
gbt_av,low,5118,0.1706
full_ols_av,suit,7759,0.2586
full_ols_av,high,8719,0.2906
full_ols_av,low,13522,0.4507
anchor_hybrid_r0_full,suit,19179,0.7758
anchor_hybrid_r0_full,high,2308,0.0934
anchor_hybrid_r0_full,low,3233,0.1308
