model,net_eppd,eppd,bid_rate,make_rate,cvar_5,net_cvar_5,source
modeloespecifico,1.6608,5.632,1.0,0.9496,-4.512,-11.112,comparator
selected_two_stage_av,1.8756,5.9316,1.0,0.998,2.36,-5.032,comparator
gbt_av,2.2548,5.7228,0.9256,0.9922,1.513,-5.5565,comparator
constrained_ols_av,2.1976,6.0988,1.0,1.0,2.744,-4.512,comparator
selected_ols_av,2.1928,6.0964,1.0,1.0,2.752,-4.496,comparator
full_ols_av,2.2432,6.1216,1.0,1.0,2.752,-4.496,comparator
stricthellraiser,0.1096,4.9284,1.0,0.9472,-3.0,-11.224,comparator
rankthetank,-9.6972,-5.5808,1.0,0.1476,-9.248,-15.04,comparator
modeloespecifico,4.6906,,0.488,0.9287,-3.26,,h2h_self_play
selected_two_stage_av,4.6178,,0.5128,0.915,-4.364,,h2h_self_play
gbt_av,4.2716,,0.4884,0.864,-6.8,,h2h_self_play
constrained_ols_av,4.9528,,0.4932,0.9862,0.408,,h2h_self_play
selected_ols_av,4.9488,,0.4964,0.9823,0.284,,h2h_self_play
full_ols_av,4.969,,0.5008,0.9872,0.392,,h2h_self_play
stricthellraiser,2.2032,,0.5072,0.4306,-6.0,,h2h_self_play
rankthetank,-1.6218,,0.4756,0.1102,-9.516,,h2h_self_play
anchor_hybrid_r0_full,3.5846,,0.4024,0.8539,-5.908,,h2h_self_play
