model,contract,r_squared,mae,n_train,n_val
constrained_ols_av,high,0.5308,4.1849,60937,7737
constrained_ols_av,low,0.5014,4.2831,60937,7737
constrained_ols_av,pass,0.0027,3.5477,8000,1000
constrained_ols_av,suit,0.5548,4.1231,243748,30948
full_ols_av,high,0.5335,4.1697,60937,7737
full_ols_av,low,0.5159,4.2263,60937,7737
full_ols_av,pass,0.0235,3.3015,8000,1000
full_ols_av,suit,0.5705,4.0535,243748,30948
gbt_av,high,0.5513,3.8435,60937,7737
gbt_av,low,0.5406,3.8595,60937,7737
gbt_av,pass,0.0257,3.3002,8000,1000
gbt_av,suit,0.6028,3.5757,243748,30948
selected_ols_av,high,0.5308,4.184,60937,7737
selected_ols_av,low,0.5034,4.2853,60937,7737
selected_ols_av,pass,0.0154,3.3357,8000,1000
selected_ols_av,suit,0.5545,4.1251,243748,30948
selected_two_stage_av,high,0.5308,4.184,60937,7737
selected_two_stage_av,low,0.5034,4.2853,60937,7737
selected_two_stage_av,pass,0.0154,3.3357,8000,1000
selected_two_stage_av,suit,,,243748,30948
