model,contract,deals,fraction
modeloespecifico,suit,49,0.98
modeloespecifico,high,0,0.0
modeloespecifico,low,1,0.02
selected_two_stage_av,suit,35,0.7
selected_two_stage_av,high,5,0.1
selected_two_stage_av,low,10,0.2
gbt_av,suit,22,0.44
gbt_av,high,8,0.16
gbt_av,low,20,0.4
constrained_ols_av,suit,32,0.64
constrained_ols_av,high,5,0.1
constrained_ols_av,low,13,0.26
selected_ols_av,suit,28,0.56
selected_ols_av,high,7,0.14
selected_ols_av,low,15,0.3
full_ols_av,suit,50,1.0
full_ols_av,high,0,0.0
full_ols_av,low,0,0.0
stricthellraiser,suit,50,1.0
stricthellraiser,high,0,0.0
stricthellraiser,low,0,0.0
rankthetank,suit,50,1.0
rankthetank,high,0,0.0
rankthetank,low,0,0.0
anchor_hybrid_r0_full,suit,37,0.8222
anchor_hybrid_r0_full,high,5,0.1111
anchor_hybrid_r0_full,low,3,0.0667
