model,opponent,contract,net_eppd_delta,deals_total,win_rate
modeloespecifico,modeloespecifico,suit,-1.2653,49,0.3469
modeloespecifico,modeloespecifico,low,6.0,1,1.0
modeloespecifico,modeloespecifico,pooled,-1.12,50,0.36
modeloespecifico,selected_two_stage_av,suit,1.0714,42,0.5476
modeloespecifico,selected_two_stage_av,high,-6.0,1,0.0
modeloespecifico,selected_two_stage_av,low,0.8571,7,0.4286
modeloespecifico,selected_two_stage_av,pooled,0.9,50,0.52
selected_two_stage_av,modeloespecifico,suit,-2.0889,45,0.3778
selected_two_stage_av,modeloespecifico,low,-0.4,5,0.4
selected_two_stage_av,modeloespecifico,pooled,-1.92,50,0.38
modeloespecifico,gbt_av,suit,-0.6,30,0.3333
modeloespecifico,gbt_av,high,-4.4444,9,0.2222
modeloespecifico,gbt_av,low,4.9091,11,0.3636
modeloespecifico,gbt_av,pooled,-0.08,50,0.32
gbt_av,modeloespecifico,suit,-1.375,24,0.5417
gbt_av,modeloespecifico,high,-3.125,8,0.5
gbt_av,modeloespecifico,low,-1.0,18,0.5556
gbt_av,modeloespecifico,pooled,-1.52,50,0.54
modeloespecifico,constrained_ols_av,suit,0.4545,44,0.6364
modeloespecifico,constrained_ols_av,high,-7.0,2,0.0
modeloespecifico,constrained_ols_av,low,0.0,4,0.25
modeloespecifico,constrained_ols_av,pooled,0.12,50,0.58
constrained_ols_av,modeloespecifico,suit,-1.8723,47,0.1915
constrained_ols_av,modeloespecifico,low,-0.6667,3,0.3333
constrained_ols_av,modeloespecifico,pooled,-1.8,50,0.2
modeloespecifico,selected_ols_av,suit,0.7317,41,0.5854
modeloespecifico,selected_ols_av,high,-5.0,2,0.0
modeloespecifico,selected_ols_av,low,0.8571,7,0.4286
modeloespecifico,selected_ols_av,pooled,0.52,50,0.54
selected_ols_av,modeloespecifico,suit,-1.7442,43,0.3256
selected_ols_av,modeloespecifico,low,0.5714,7,0.5714
selected_ols_av,modeloespecifico,pooled,-1.42,50,0.36
modeloespecifico,full_ols_av,suit,-0.7872,47,0.2979
modeloespecifico,full_ols_av,high,-6.0,1,0.0
modeloespecifico,full_ols_av,low,4.5,2,0.5
modeloespecifico,full_ols_av,pooled,-0.68,50,0.3
full_ols_av,modeloespecifico,suit,-0.4773,44,0.4545
full_ols_av,modeloespecifico,high,2.0,2,0.5
full_ols_av,modeloespecifico,low,0.5,4,0.75
full_ols_av,modeloespecifico,pooled,-0.3,50,0.48
modeloespecifico,stricthellraiser,suit,3.4,50,0.5
modeloespecifico,stricthellraiser,pooled,3.4,50,0.5
stricthellraiser,modeloespecifico,suit,-6.5,50,0.26
stricthellraiser,modeloespecifico,pooled,-6.5,50,0.26
modeloespecifico,rankthetank,suit,10.46,50,0.9
modeloespecifico,rankthetank,pooled,10.46,50,0.9
rankthetank,modeloespecifico,suit,-11.34,50,0.06
rankthetank,modeloespecifico,pooled,-11.34,50,0.06
modeloespecifico,anchor_hybrid_r0_full,suit,-1.0227,44,0.3864
modeloespecifico,anchor_hybrid_r0_full,high,-6.0,3,0.0
modeloespecifico,anchor_hybrid_r0_full,low,1.3333,3,0.3333
modeloespecifico,anchor_hybrid_r0_full,pooled,-1.18,50,0.36
anchor_hybrid_r0_full,modeloespecifico,suit,-1.3409,44,0.3636
anchor_hybrid_r0_full,modeloespecifico,high,6.0,1,1.0
anchor_hybrid_r0_full,modeloespecifico,low,2.0,5,0.8
anchor_hybrid_r0_full,modeloespecifico,pooled,-0.86,50,0.42
selected_two_stage_av,selected_two_stage_av,suit,-1.3143,35,0.3714
selected_two_stage_av,selected_two_stage_av,high,-0.4,5,0.4
selected_two_stage_av,selected_two_stage_av,low,1.1,10,0.5
selected_two_stage_av,selected_two_stage_av,pooled,-0.74,50,0.4
selected_two_stage_av,gbt_av,suit,0.3448,29,0.4483
selected_two_stage_av,gbt_av,high,-6.2222,9,0.1111
selected_two_stage_av,gbt_av,low,4.5,12,0.5
selected_two_stage_av,gbt_av,pooled,0.16,50,0.4
gbt_av,selected_two_stage_av,suit,-0.25,20,0.55
gbt_av,selected_two_stage_av,high,-3.1,10,0.4
gbt_av,selected_two_stage_av,low,-0.35,20,0.55
gbt_av,selected_two_stage_av,pooled,-0.86,50,0.52
selected_two_stage_av,constrained_ols_av,suit,-1.5172,29,0.3793
selected_two_stage_av,constrained_ols_av,high,-2.0,5,0.2
selected_two_stage_av,constrained_ols_av,low,1.75,16,0.5625
selected_two_stage_av,constrained_ols_av,pooled,-0.52,50,0.42
constrained_ols_av,selected_two_stage_av,suit,0.5417,24,0.5833
constrained_ols_av,selected_two_stage_av,high,-2.4,5,0.2
constrained_ols_av,selected_two_stage_av,low,1.1905,21,0.5714
constrained_ols_av,selected_two_stage_av,pooled,0.52,50,0.54
selected_two_stage_av,selected_ols_av,suit,-1.3448,29,0.4138
selected_two_stage_av,selected_ols_av,high,-2.0,7,0.2857
selected_two_stage_av,selected_ols_av,low,1.5714,14,0.5714
selected_two_stage_av,selected_ols_av,pooled,-0.62,50,0.44
selected_ols_av,selected_two_stage_av,suit,-1.1515,33,0.3939
selected_ols_av,selected_two_stage_av,high,0.0,5,0.4
selected_ols_av,selected_two_stage_av,low,0.5,12,0.5833
selected_ols_av,selected_two_stage_av,pooled,-0.64,50,0.44
selected_two_stage_av,full_ols_av,suit,-1.6744,43,0.2093
selected_two_stage_av,full_ols_av,high,6.0,1,1.0
selected_two_stage_av,full_ols_av,low,2.6667,6,0.5
selected_two_stage_av,full_ols_av,pooled,-1.0,50,0.26
full_ols_av,selected_two_stage_av,suit,0.1707,41,0.6098
full_ols_av,selected_two_stage_av,high,-4.0,3,0.0
full_ols_av,selected_two_stage_av,low,1.1667,6,0.5
full_ols_av,selected_two_stage_av,pooled,0.04,50,0.56
selected_two_stage_av,stricthellraiser,suit,0.6486,37,0.4865
selected_two_stage_av,stricthellraiser,high,-5.0,2,0.5
selected_two_stage_av,stricthellraiser,low,-0.0909,11,0.6364
selected_two_stage_av,stricthellraiser,pooled,0.26,50,0.52
stricthellraiser,selected_two_stage_av,suit,-3.1842,38,0.3421
stricthellraiser,selected_two_stage_av,high,-6.0,1,0.0
stricthellraiser,selected_two_stage_av,low,5.2727,11,0.5455
stricthellraiser,selected_two_stage_av,pooled,-1.38,50,0.38
selected_two_stage_av,rankthetank,suit,10.46,50,0.9
selected_two_stage_av,rankthetank,pooled,10.46,50,0.9
rankthetank,selected_two_stage_av,suit,-11.48,50,0.06
rankthetank,selected_two_stage_av,pooled,-11.48,50,0.06
selected_two_stage_av,anchor_hybrid_r0_full,suit,-1.5854,41,0.3659
selected_two_stage_av,anchor_hybrid_r0_full,high,-6.6667,3,0.0
selected_two_stage_av,anchor_hybrid_r0_full,low,-3.2,5,0.2
selected_two_stage_av,anchor_hybrid_r0_full,pooled,-2.02,50,0.32
anchor_hybrid_r0_full,selected_two_stage_av,suit,-1.0541,37,0.4324
anchor_hybrid_r0_full,selected_two_stage_av,high,-3.3333,6,0.1667
anchor_hybrid_r0_full,selected_two_stage_av,low,1.1429,7,0.7143
anchor_hybrid_r0_full,selected_two_stage_av,pooled,-1.02,50,0.44
gbt_av,gbt_av,suit,-1.5455,22,0.4545
gbt_av,gbt_av,high,-12.125,8,0.125
gbt_av,gbt_av,low,2.95,20,0.55
gbt_av,gbt_av,pooled,-1.44,50,0.44
gbt_av,constrained_ols_av,suit,-0.8889,18,0.6111
gbt_av,constrained_ols_av,high,-2.2667,15,0.4667
gbt_av,constrained_ols_av,low,0.6471,17,0.7059
gbt_av,constrained_ols_av,pooled,-0.78,50,0.6
constrained_ols_av,gbt_av,suit,-0.9091,22,0.2727
constrained_ols_av,gbt_av,high,-4.3846,13,0.1538
constrained_ols_av,gbt_av,low,2.6,15,0.2667
constrained_ols_av,gbt_av,pooled,-0.76,50,0.24
gbt_av,selected_ols_av,suit,0.3529,17,0.5882
gbt_av,selected_ols_av,high,-4.5,12,0.3333
gbt_av,selected_ols_av,low,-0.4286,21,0.5238
gbt_av,selected_ols_av,pooled,-1.14,50,0.5
selected_ols_av,gbt_av,suit,0.0741,27,0.4074
selected_ols_av,gbt_av,high,-6.2222,9,0.1111
selected_ols_av,gbt_av,low,4.3571,14,0.4286
selected_ols_av,gbt_av,pooled,0.14,50,0.36
gbt_av,full_ols_av,suit,1.125,32,0.5312
gbt_av,full_ols_av,high,-7.5,4,0.5
gbt_av,full_ols_av,low,1.2143,14,0.6429
gbt_av,full_ols_av,pooled,0.46,50,0.56
full_ols_av,gbt_av,suit,-1.1667,36,0.4722
full_ols_av,gbt_av,high,-9.2,5,0.0
full_ols_av,gbt_av,low,6.3333,9,0.5556
full_ols_av,gbt_av,pooled,-0.62,50,0.44
gbt_av,stricthellraiser,suit,5.1333,45,0.7111
gbt_av,stricthellraiser,high,-9.5,2,0.5
gbt_av,stricthellraiser,low,10.0,3,1.0
gbt_av,stricthellraiser,pooled,4.84,50,0.72
stricthellraiser,gbt_av,suit,-5.8409,44,0.2727
stricthellraiser,gbt_av,high,-20.0,2,0.0
stricthellraiser,gbt_av,low,15.75,4,0.75
stricthellraiser,gbt_av,pooled,-4.68,50,0.3
gbt_av,rankthetank,suit,9.1915,47,0.8511
gbt_av,rankthetank,high,-21.0,2,0.0
gbt_av,rankthetank,low,20.0,1,1.0
gbt_av,rankthetank,pooled,8.2,50,0.82
rankthetank,gbt_av,suit,-10.9783,46,0.087
rankthetank,gbt_av,high,-20.0,2,0.0
rankthetank,gbt_av,low,26.5,2,1.0
rankthetank,gbt_av,pooled,-9.84,50,0.12
gbt_av,anchor_hybrid_r0_full,suit,-2.45,20,0.5
gbt_av,anchor_hybrid_r0_full,high,-2.8462,13,0.4615
gbt_av,anchor_hybrid_r0_full,low,1.1176,17,0.7059
gbt_av,anchor_hybrid_r0_full,pooled,-1.34,50,0.56
anchor_hybrid_r0_full,gbt_av,suit,-1.08,25,0.36
anchor_hybrid_r0_full,gbt_av,high,-3.8182,11,0.1818
anchor_hybrid_r0_full,gbt_av,low,4.7857,14,0.4286
anchor_hybrid_r0_full,gbt_av,pooled,-0.04,50,0.34
constrained_ols_av,constrained_ols_av,suit,-0.6562,32,0.4375
constrained_ols_av,constrained_ols_av,high,-2.4,5,0.2
constrained_ols_av,constrained_ols_av,low,0.7692,13,0.5385
constrained_ols_av,constrained_ols_av,pooled,-0.46,50,0.44
constrained_ols_av,selected_ols_av,suit,0.8846,26,0.6154
constrained_ols_av,selected_ols_av,high,-2.6667,6,0.1667
constrained_ols_av,selected_ols_av,low,1.7222,18,0.5556
constrained_ols_av,selected_ols_av,pooled,0.76,50,0.54
selected_ols_av,constrained_ols_av,suit,-2.069,29,0.3448
selected_ols_av,constrained_ols_av,high,-2.0,5,0.2
selected_ols_av,constrained_ols_av,low,0.875,16,0.5
selected_ols_av,constrained_ols_av,pooled,-1.12,50,0.38
constrained_ols_av,full_ols_av,suit,-1.0476,42,0.3095
constrained_ols_av,full_ols_av,high,6.0,1,1.0
constrained_ols_av,full_ols_av,low,2.8571,7,0.7143
constrained_ols_av,full_ols_av,pooled,-0.36,50,0.38
full_ols_av,constrained_ols_av,suit,0.0455,44,0.5455
full_ols_av,constrained_ols_av,high,-4.0,3,0.0
full_ols_av,constrained_ols_av,low,-0.6667,3,0.3333
full_ols_av,constrained_ols_av,pooled,-0.24,50,0.5
constrained_ols_av,stricthellraiser,suit,0.3333,48,0.3333
constrained_ols_av,stricthellraiser,low,-2.5,2,0.5
constrained_ols_av,stricthellraiser,pooled,0.22,50,0.34
stricthellraiser,constrained_ols_av,suit,-2.7755,49,0.3673
stricthellraiser,constrained_ols_av,low,-2.0,1,0.0
stricthellraiser,constrained_ols_av,pooled,-2.76,50,0.36
constrained_ols_av,rankthetank,suit,10.46,50,0.9
constrained_ols_av,rankthetank,pooled,10.46,50,0.9
rankthetank,constrained_ols_av,suit,-11.48,50,0.06
rankthetank,constrained_ols_av,pooled,-11.48,50,0.06
constrained_ols_av,anchor_hybrid_r0_full,suit,-1.6053,38,0.2368
constrained_ols_av,anchor_hybrid_r0_full,high,-1.7143,7,0.4286
constrained_ols_av,anchor_hybrid_r0_full,low,-1.6,5,0.0
constrained_ols_av,anchor_hybrid_r0_full,pooled,-1.62,50,0.24
anchor_hybrid_r0_full,constrained_ols_av,suit,-1.2632,38,0.4474
anchor_hybrid_r0_full,constrained_ols_av,high,-2.5,4,0.25
anchor_hybrid_r0_full,constrained_ols_av,low,1.25,8,0.75
anchor_hybrid_r0_full,constrained_ols_av,pooled,-0.96,50,0.48
selected_ols_av,selected_ols_av,suit,-0.9286,28,0.4286
selected_ols_av,selected_ols_av,high,-1.7143,7,0.2857
selected_ols_av,selected_ols_av,low,1.3333,15,0.6
selected_ols_av,selected_ols_av,pooled,-0.36,50,0.46
selected_ols_av,full_ols_av,suit,-2.1136,44,0.1818
selected_ols_av,full_ols_av,high,6.0,1,1.0
selected_ols_av,full_ols_av,low,2.0,5,0.4
selected_ols_av,full_ols_av,pooled,-1.54,50,0.22
full_ols_av,selected_ols_av,suit,0.4762,42,0.5952
full_ols_av,selected_ols_av,high,-4.0,3,0.0
full_ols_av,selected_ols_av,low,1.0,5,0.4
full_ols_av,selected_ols_av,pooled,0.26,50,0.54
selected_ols_av,stricthellraiser,suit,0.2778,36,0.4444
selected_ols_av,stricthellraiser,high,-5.0,2,0.5
selected_ols_av,stricthellraiser,low,-1.1667,12,0.5833
selected_ols_av,stricthellraiser,pooled,-0.28,50,0.48
stricthellraiser,selected_ols_av,suit,-3.0,35,0.3714
stricthellraiser,selected_ols_av,high,-4.0,2,0.0
stricthellraiser,selected_ols_av,low,5.3077,13,0.5385
stricthellraiser,selected_ols_av,pooled,-0.88,50,0.4
selected_ols_av,rankthetank,suit,10.46,50,0.9
selected_ols_av,rankthetank,pooled,10.46,50,0.9
rankthetank,selected_ols_av,suit,-11.48,50,0.06
rankthetank,selected_ols_av,pooled,-11.48,50,0.06
selected_ols_av,anchor_hybrid_r0_full,suit,-1.1579,38,0.3421
selected_ols_av,anchor_hybrid_r0_full,high,-6.0,4,0.0
selected_ols_av,anchor_hybrid_r0_full,low,-2.0,7,0.2857
selected_ols_av,anchor_hybrid_r0_full,pooled,-1.64,50,0.3
anchor_hybrid_r0_full,selected_ols_av,suit,-1.3714,35,0.4286
anchor_hybrid_r0_full,selected_ols_av,high,-2.5714,7,0.2857
anchor_hybrid_r0_full,selected_ols_av,low,1.25,8,0.75
anchor_hybrid_r0_full,selected_ols_av,pooled,-1.12,50,0.46
full_ols_av,full_ols_av,suit,-0.48,50,0.44
full_ols_av,full_ols_av,pooled,-0.48,50,0.44
full_ols_av,stricthellraiser,suit,-1.54,50,0.46
full_ols_av,stricthellraiser,pooled,-1.54,50,0.46
stricthellraiser,full_ols_av,suit,-1.02,50,0.34
stricthellraiser,full_ols_av,pooled,-1.02,50,0.34
full_ols_av,rankthetank,suit,9.78,50,0.88
full_ols_av,rankthetank,pooled,9.78,50,0.88
rankthetank,full_ols_av,suit,-8.86,50,0.16
rankthetank,full_ols_av,pooled,-8.86,50,0.16
full_ols_av,anchor_hybrid_r0_full,suit,-2.1304,46,0.3478
full_ols_av,anchor_hybrid_r0_full,high,-6.0,1,0.0
full_ols_av,anchor_hybrid_r0_full,low,4.0,3,1.0
full_ols_av,anchor_hybrid_r0_full,pooled,-1.84,50,0.38
