model,bid_type,count,bid_rate,make_rate,mean_net_points,source
modeloespecifico,regular,50,1.0,0.9,0.78,comparator
selected_two_stage_av,regular,44,0.88,0.9545,0.72,comparator
gbt_av,regular,49,0.98,0.9796,3.7,comparator
constrained_ols_av,regular,50,1.0,1.0,1.68,comparator
selected_ols_av,regular,45,0.9,1.0,1.32,comparator
full_ols_av,regular,45,0.9,1.0,1.84,comparator
stricthellraiser,regular,50,1.0,0.92,0.14,comparator
rankthetank,regular,50,1.0,0.06,-11.3,comparator
modeloespecifico,regular,50,,0.36,-1.12,h2h_self_play
selected_two_stage_av,regular,50,,0.4,-0.74,h2h_self_play
gbt_av,regular,41,,0.439,-1.5366,h2h_self_play
gbt_av,moon,9,,0.4444,-1.0,h2h_self_play
constrained_ols_av,regular,50,,0.44,-0.46,h2h_self_play
selected_ols_av,regular,50,,0.46,-0.36,h2h_self_play
full_ols_av,regular,50,,0.44,-0.48,h2h_self_play
stricthellraiser,regular,50,,0.42,-2.06,h2h_self_play
rankthetank,regular,50,,0.62,2.76,h2h_self_play
anchor_hybrid_r0_full,regular,45,,0.3333,-1.4,h2h_self_play
