model,check_name,value,lower_bound,upper_bound,status
modeloespecifico,bid_rate_range,1.0,0.05,0.95,FAIL
modeloespecifico,make_rate_range,0.9,0.1,1.0,PASS
selected_two_stage_av,bid_rate_range,0.88,0.05,0.95,PASS
selected_two_stage_av,make_rate_range,0.9545,0.1,1.0,PASS
gbt_av,bid_rate_range,0.98,0.05,0.95,FAIL
gbt_av,make_rate_range,0.9796,0.1,1.0,PASS
constrained_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
constrained_ols_av,make_rate_range,1.0,0.1,1.0,PASS
selected_ols_av,bid_rate_range,0.9,0.05,0.95,PASS
selected_ols_av,make_rate_range,1.0,0.1,1.0,PASS
full_ols_av,bid_rate_range,0.9,0.05,0.95,PASS
full_ols_av,make_rate_range,1.0,0.1,1.0,PASS
stricthellraiser,bid_rate_range,1.0,0.05,0.95,FAIL
stricthellraiser,make_rate_range,0.92,0.1,1.0,PASS
rankthetank,bid_rate_range,1.0,0.05,0.95,FAIL
rankthetank,make_rate_range,0.06,0.1,1.0,FAIL
constrained_ols_av,r2_positive_suit,0.8637,0.0,1.0,PASS
constrained_ols_av,r2_positive_high,0.8059,0.0,1.0,PASS
constrained_ols_av,r2_positive_low,0.5693,0.0,1.0,PASS
constrained_ols_av,r2_positive_pass,-0.1923,0.0,1.0,FAIL
full_ols_av,r2_positive_suit,0.8288,0.0,1.0,PASS
full_ols_av,r2_positive_high,0.8046,0.0,1.0,PASS
full_ols_av,r2_positive_low,0.4763,0.0,1.0,PASS
full_ols_av,r2_positive_pass,-1.0305,0.0,1.0,FAIL
gbt_av,r2_positive_suit,0.817,0.0,1.0,PASS
gbt_av,r2_positive_high,0.85,0.0,1.0,PASS
gbt_av,r2_positive_low,0.4705,0.0,1.0,PASS
gbt_av,r2_positive_pass,-0.8131,0.0,1.0,FAIL
selected_ols_av,r2_positive_suit,0.8553,0.0,1.0,PASS
selected_ols_av,r2_positive_high,0.8103,0.0,1.0,PASS
selected_ols_av,r2_positive_low,0.5561,0.0,1.0,PASS
selected_ols_av,r2_positive_pass,-1.1305,0.0,1.0,FAIL
selected_two_stage_av,r2_positive_suit,0.0,0.0,1.0,FAIL
selected_two_stage_av,r2_positive_high,0.8103,0.0,1.0,PASS
selected_two_stage_av,r2_positive_low,0.5561,0.0,1.0,PASS
selected_two_stage_av,r2_positive_pass,-1.1305,0.0,1.0,FAIL
