model,contract,bid_level,count,fraction
pooled,high,1,11848,0.0613
pooled,high,2,11848,0.0613
pooled,high,3,11848,0.0613
pooled,high,4,11848,0.0613
pooled,high,5,11848,0.0613
pooled,high,6,15138,0.0783
pooled,high,7,19109,0.0988
pooled,high,8,19939,0.1031
pooled,high,9,19998,0.1034
pooled,high,10,60000,0.3102
pooled,low,1,11848,0.0613
pooled,low,2,11848,0.0613
pooled,low,3,11848,0.0613
pooled,low,4,11848,0.0613
pooled,low,5,11848,0.0613
pooled,low,6,15138,0.0783
pooled,low,7,19109,0.0988
pooled,low,8,19939,0.1031
pooled,low,9,19998,0.1034
pooled,low,10,60000,0.3102
pooled,suit,1,47392,0.0613
pooled,suit,2,47392,0.0613
pooled,suit,3,47392,0.0613
pooled,suit,4,47392,0.0613
pooled,suit,5,47392,0.0613
pooled,suit,6,60552,0.0783
pooled,suit,7,76436,0.0988
pooled,suit,8,79756,0.1031
pooled,suit,9,79992,0.1034
pooled,suit,10,240000,0.3102
