model,opponent,contract,net_eppd_delta,deals_total,win_rate
modeloespecifico,modeloespecifico,suit,-0.0272,28248,0.4359
modeloespecifico,modeloespecifico,high,0.1027,837,0.4504
modeloespecifico,modeloespecifico,low,-0.1333,915,0.436
modeloespecifico,modeloespecifico,pooled,-0.0268,30000,0.4363
modeloespecifico,selected_two_stage_av,suit,0.3929,28545,0.4466
modeloespecifico,selected_two_stage_av,high,2.9394,545,0.7394
modeloespecifico,selected_two_stage_av,low,0.3736,910,0.4802
modeloespecifico,selected_two_stage_av,pooled,0.4386,30000,0.4529
selected_two_stage_av,modeloespecifico,suit,-0.4191,28533,0.4202
selected_two_stage_av,modeloespecifico,high,-2.9102,568,0.1602
selected_two_stage_av,modeloespecifico,low,-1.0857,899,0.3526
selected_two_stage_av,modeloespecifico,pooled,-0.4862,30000,0.4133
modeloespecifico,gbt_av,suit,-0.6601,23829,0.3407
modeloespecifico,gbt_av,high,-1.537,2512,0.2014
modeloespecifico,gbt_av,low,-1.6573,3659,0.1804
modeloespecifico,gbt_av,pooled,-0.8551,30000,0.3095
gbt_av,modeloespecifico,suit,0.6788,23967,0.5634
gbt_av,modeloespecifico,high,1.3922,2499,0.6703
gbt_av,modeloespecifico,low,1.3302,3534,0.7213
gbt_av,modeloespecifico,pooled,0.815,30000,0.5909
modeloespecifico,full_ols_av,suit,1.2156,25872,0.6206
modeloespecifico,full_ols_av,high,0.1357,1408,0.4467
modeloespecifico,full_ols_av,low,0.1971,2720,0.4305
modeloespecifico,full_ols_av,pooled,1.0726,30000,0.5953
full_ols_av,modeloespecifico,suit,-1.2088,25926,0.2298
full_ols_av,modeloespecifico,high,-0.2749,1404,0.4074
full_ols_av,modeloespecifico,low,-0.5536,2670,0.4079
full_ols_av,modeloespecifico,pooled,-1.1068,30000,0.2539
modeloespecifico,anchor_hybrid_r0_full,suit,0.5268,25766,0.4955
modeloespecifico,anchor_hybrid_r0_full,high,-0.3148,1760,0.3511
modeloespecifico,anchor_hybrid_r0_full,low,-0.4139,2474,0.3383
modeloespecifico,anchor_hybrid_r0_full,pooled,0.3998,30000,0.4741
anchor_hybrid_r0_full,modeloespecifico,suit,-0.548,25775,0.3875
anchor_hybrid_r0_full,modeloespecifico,high,0.182,1709,0.5682
anchor_hybrid_r0_full,modeloespecifico,low,0.1228,2516,0.5751
anchor_hybrid_r0_full,modeloespecifico,pooled,-0.4502,30000,0.4135
selected_two_stage_av,selected_two_stage_av,suit,0.0216,29095,0.4163
selected_two_stage_av,selected_two_stage_av,high,0.502,245,0.4776
selected_two_stage_av,selected_two_stage_av,low,0.1136,660,0.4394
selected_two_stage_av,selected_two_stage_av,pooled,0.0276,30000,0.4173
selected_two_stage_av,gbt_av,suit,-1.2583,23772,0.292
selected_two_stage_av,gbt_av,high,-1.9848,2636,0.1669
selected_two_stage_av,gbt_av,low,-1.9268,3592,0.169
selected_two_stage_av,gbt_av,pooled,-1.4022,30000,0.2663
gbt_av,selected_two_stage_av,suit,1.2492,23846,0.5948
gbt_av,selected_two_stage_av,high,2.0108,2596,0.6872
gbt_av,selected_two_stage_av,low,1.5171,3558,0.7097
gbt_av,selected_two_stage_av,pooled,1.3469,30000,0.6164
selected_two_stage_av,full_ols_av,suit,1.373,23292,0.6054
selected_two_stage_av,full_ols_av,high,-1.042,2573,0.3043
selected_two_stage_av,full_ols_av,low,-0.5478,4135,0.3453
selected_two_stage_av,full_ols_av,pooled,0.9012,30000,0.5437
full_ols_av,selected_two_stage_av,suit,-1.3586,23435,0.2214
full_ols_av,selected_two_stage_av,high,0.9567,2612,0.5192
full_ols_av,selected_two_stage_av,low,0.3486,3953,0.4746
full_ols_av,selected_two_stage_av,pooled,-0.9321,30000,0.2807
selected_two_stage_av,anchor_hybrid_r0_full,suit,0.0579,22078,0.4136
selected_two_stage_av,anchor_hybrid_r0_full,high,0.6914,3746,0.4602
selected_two_stage_av,anchor_hybrid_r0_full,low,0.2945,4176,0.4219
selected_two_stage_av,anchor_hybrid_r0_full,pooled,0.1699,30000,0.4206
anchor_hybrid_r0_full,selected_two_stage_av,suit,-0.0873,22041,0.4733
anchor_hybrid_r0_full,selected_two_stage_av,high,-0.8271,3783,0.3801
anchor_hybrid_r0_full,selected_two_stage_av,low,-0.4847,4176,0.4507
