model,contract,value,metric
modeloespecifico,pooled,4.678,fullgame_eppd
modeloespecifico,suit,-0.0272,net_eppd_delta
modeloespecifico,high,0.1027,net_eppd_delta
modeloespecifico,low,-0.1333,net_eppd_delta
selected_two_stage_av,pooled,4.5972,fullgame_eppd
selected_two_stage_av,suit,0.0216,net_eppd_delta
selected_two_stage_av,high,0.502,net_eppd_delta
selected_two_stage_av,low,0.1136,net_eppd_delta
gbt_av,pooled,4.2968,fullgame_eppd
gbt_av,suit,0.0339,net_eppd_delta
gbt_av,high,-0.274,net_eppd_delta
gbt_av,low,-0.0514,net_eppd_delta
full_ols_av,pooled,4.9756,fullgame_eppd
full_ols_av,suit,0.008,net_eppd_delta
full_ols_av,high,-0.0179,net_eppd_delta
full_ols_av,low,-0.078,net_eppd_delta
anchor_hybrid_r0_full,pooled,3.5406,fullgame_eppd
anchor_hybrid_r0_full,suit,-0.032,net_eppd_delta
anchor_hybrid_r0_full,high,-0.075,net_eppd_delta
anchor_hybrid_r0_full,low,-0.1061,net_eppd_delta
