model,tier,mean_delta,mean_win_rate,n_opponents
anchor_hybrid_r0_full,smart,-0.2519,0.4657,2
anchor_hybrid_r0_full,heuristic,-0.4502,0.4135,1
full_ols_av,smart,-0.9321,0.2807,1
full_ols_av,anchor,0.2124,0.4012,1
full_ols_av,heuristic,-1.1068,0.2539,1
gbt_av,smart,1.6056,0.6426,2
gbt_av,anchor,0.9736,0.5528,1
gbt_av,heuristic,0.815,0.5909,1
modeloespecifico,smart,0.7556,0.5241,2
modeloespecifico,anchor,0.3998,0.4741,1
selected_two_stage_av,smart,0.9012,0.5437,1
selected_two_stage_av,anchor,0.1699,0.4206,1
selected_two_stage_av,heuristic,-0.4862,0.4133,1
