model,check_name,value,lower_bound,upper_bound,status
modeloespecifico,bid_rate_range,1.0,0.05,0.95,FAIL
modeloespecifico,make_rate_range,0.9467,0.1,1.0,PASS
selected_two_stage_av,bid_rate_range,0.9999,0.05,0.95,FAIL
selected_two_stage_av,make_rate_range,0.9939,0.1,1.0,PASS
gbt_av,bid_rate_range,0.9841,0.05,0.95,FAIL
gbt_av,make_rate_range,0.9888,0.1,1.0,PASS
full_ols_av,bid_rate_range,1.0,0.05,0.95,FAIL
full_ols_av,make_rate_range,0.9999,0.1,1.0,PASS
full_ols_av,r2_positive_high,0.8661,0.0,1.0,PASS
full_ols_av,r2_positive_low,0.8625,0.0,1.0,PASS
full_ols_av,r2_positive_pass,0.0545,0.0,1.0,PASS
full_ols_av,r2_positive_suit,0.8902,0.0,1.0,PASS
gbt_av,r2_positive_high,0.8752,0.0,1.0,PASS
gbt_av,r2_positive_low,0.8721,0.0,1.0,PASS
gbt_av,r2_positive_pass,0.0854,0.0,1.0,PASS
gbt_av,r2_positive_suit,0.8999,0.0,1.0,PASS
selected_two_stage_av,r2_positive_high,0.8633,0.0,1.0,PASS
selected_two_stage_av,r2_positive_low,0.8595,0.0,1.0,PASS
selected_two_stage_av,r2_positive_pass,0.0484,0.0,1.0,PASS
selected_two_stage_av,r2_positive_suit,0.0,0.0,1.0,FAIL
