model,opponent,contract,net_eppd_delta,deals_total,win_rate
modeloespecifico,modeloespecifico,suit,-0.16,2350,0.4209
modeloespecifico,modeloespecifico,high,-0.6,70,0.4429
modeloespecifico,modeloespecifico,low,-0.1625,80,0.3875
modeloespecifico,modeloespecifico,pooled,-0.1724,2500,0.4204
modeloespecifico,selected_two_stage_av,suit,0.181,2342,0.4304
modeloespecifico,selected_two_stage_av,high,0.5962,52,0.6154
modeloespecifico,selected_two_stage_av,low,0.6604,106,0.4717
modeloespecifico,selected_two_stage_av,pooled,0.21,2500,0.436
selected_two_stage_av,modeloespecifico,suit,-0.4286,2359,0.429
selected_two_stage_av,modeloespecifico,high,-3.4091,44,0.1818
selected_two_stage_av,modeloespecifico,low,-0.5979,97,0.3918
selected_two_stage_av,modeloespecifico,pooled,-0.4876,2500,0.4232
modeloespecifico,gbt_av,suit,-0.5748,2065,0.3477
modeloespecifico,gbt_av,high,-1.3013,156,0.2115
modeloespecifico,gbt_av,low,-0.448,279,0.2652
modeloespecifico,gbt_av,pooled,-0.606,2500,0.33
gbt_av,modeloespecifico,suit,0.3016,2079,0.5257
gbt_av,modeloespecifico,high,0.8085,141,0.617
gbt_av,modeloespecifico,low,0.9893,280,0.6964
gbt_av,modeloespecifico,pooled,0.4072,2500,0.55
modeloespecifico,constrained_ols_av,suit,1.2842,2210,0.6344
modeloespecifico,constrained_ols_av,high,-0.0215,93,0.5376
modeloespecifico,constrained_ols_av,low,0.7817,197,0.5127
modeloespecifico,constrained_ols_av,pooled,1.196,2500,0.6212
constrained_ols_av,modeloespecifico,suit,-1.4539,2236,0.1972
constrained_ols_av,modeloespecifico,high,-1.7821,78,0.2949
constrained_ols_av,modeloespecifico,low,-1.0968,186,0.3118
constrained_ols_av,modeloespecifico,pooled,-1.4376,2500,0.2088
modeloespecifico,selected_ols_av,suit,1.2066,2164,0.6229
modeloespecifico,selected_ols_av,high,-0.3158,114,0.4649
modeloespecifico,selected_ols_av,low,0.536,222,0.455
modeloespecifico,selected_ols_av,pooled,1.0776,2500,0.6008
selected_ols_av,modeloespecifico,suit,-1.4633,2182,0.2071
selected_ols_av,modeloespecifico,high,-1.3673,98,0.3367
selected_ols_av,modeloespecifico,low,-0.75,220,0.3727
selected_ols_av,modeloespecifico,pooled,-1.3968,2500,0.2268
modeloespecifico,full_ols_av,suit,1.1749,2179,0.6223
modeloespecifico,full_ols_av,high,-0.3113,106,0.4906
modeloespecifico,full_ols_av,low,0.9721,215,0.4884
modeloespecifico,full_ols_av,pooled,1.0944,2500,0.6052
full_ols_av,modeloespecifico,suit,-1.3215,2202,0.2089
full_ols_av,modeloespecifico,high,-1.1474,95,0.3368
full_ols_av,modeloespecifico,low,-1.0345,203,0.3399
full_ols_av,modeloespecifico,pooled,-1.2916,2500,0.2244
modeloespecifico,stricthellraiser,suit,4.5897,2493,0.5335
modeloespecifico,stricthellraiser,high,6.0,3,1.0
modeloespecifico,stricthellraiser,low,4.5,4,1.0
modeloespecifico,stricthellraiser,pooled,4.5912,2500,0.5348
stricthellraiser,modeloespecifico,suit,-5.2651,2493,0.3446
stricthellraiser,modeloespecifico,high,-3.0,2,0.0
stricthellraiser,modeloespecifico,low,-4.0,5,0.0
stricthellraiser,modeloespecifico,pooled,-5.2608,2500,0.3436
modeloespecifico,rankthetank,suit,10.4808,2500,0.8996
modeloespecifico,rankthetank,pooled,10.4808,2500,0.8996
rankthetank,modeloespecifico,suit,-10.5044,2500,0.1024
rankthetank,modeloespecifico,pooled,-10.5044,2500,0.1024
modeloespecifico,anchor_hybrid_r0_full,suit,0.3443,2129,0.4735
modeloespecifico,anchor_hybrid_r0_full,high,-0.415,147,0.3605
modeloespecifico,anchor_hybrid_r0_full,low,-0.4107,224,0.3393
modeloespecifico,anchor_hybrid_r0_full,pooled,0.232,2500,0.4548
anchor_hybrid_r0_full,modeloespecifico,suit,-0.6416,2157,0.3751
anchor_hybrid_r0_full,modeloespecifico,high,-0.1857,140,0.5214
anchor_hybrid_r0_full,modeloespecifico,low,0.069,203,0.5665
anchor_hybrid_r0_full,modeloespecifico,pooled,-0.5584,2500,0.3988
selected_two_stage_av,selected_two_stage_av,suit,-0.0033,2396,0.4232
selected_two_stage_av,selected_two_stage_av,high,0.7143,21,0.5238
selected_two_stage_av,selected_two_stage_av,low,-0.0361,83,0.4217
selected_two_stage_av,selected_two_stage_av,pooled,0.0016,2500,0.424
selected_two_stage_av,gbt_av,suit,-0.8536,2063,0.3291
selected_two_stage_av,gbt_av,high,-1.3547,172,0.2326
selected_two_stage_av,gbt_av,low,-1.1057,265,0.2453
selected_two_stage_av,gbt_av,pooled,-0.9148,2500,0.3136
gbt_av,selected_two_stage_av,suit,0.8739,2069,0.5452
gbt_av,selected_two_stage_av,high,2.0897,156,0.7051
gbt_av,selected_two_stage_av,low,1.3345,275,0.6655
gbt_av,selected_two_stage_av,pooled,1.0004,2500,0.5684
selected_two_stage_av,constrained_ols_av,suit,0.8318,2236,0.559
selected_two_stage_av,constrained_ols_av,high,-1.6986,73,0.2603
selected_two_stage_av,constrained_ols_av,low,-0.6387,191,0.3246
selected_two_stage_av,constrained_ols_av,pooled,0.6456,2500,0.5324
constrained_ols_av,selected_two_stage_av,suit,-0.8767,2254,0.2826
constrained_ols_av,selected_two_stage_av,high,1.6667,78,0.5897
constrained_ols_av,selected_two_stage_av,low,0.5357,168,0.4821
constrained_ols_av,selected_two_stage_av,pooled,-0.7024,2500,0.3056
selected_two_stage_av,selected_ols_av,suit,0.9142,2204,0.5699
selected_two_stage_av,selected_ols_av,high,-1.5189,106,0.217
selected_two_stage_av,selected_ols_av,low,-0.7579,190,0.3158
selected_two_stage_av,selected_ols_av,pooled,0.684,2500,0.5356
selected_ols_av,selected_two_stage_av,suit,-0.9897,2226,0.2727
selected_ols_av,selected_two_stage_av,high,1.3936,94,0.5957
selected_ols_av,selected_two_stage_av,low,0.6056,180,0.4889
selected_ols_av,selected_two_stage_av,pooled,-0.7852,2500,0.3004
selected_two_stage_av,full_ols_av,suit,1.4693,2018,0.6125
selected_two_stage_av,full_ols_av,high,-0.3068,176,0.3977
selected_two_stage_av,full_ols_av,low,0.3039,306,0.4706
selected_two_stage_av,full_ols_av,pooled,1.2016,2500,0.58
full_ols_av,selected_two_stage_av,suit,-1.3939,2036,0.224
full_ols_av,selected_two_stage_av,high,0.0919,185,0.427
full_ols_av,selected_two_stage_av,low,-0.405,279,0.3692
full_ols_av,selected_two_stage_av,pooled,-1.1736,2500,0.2552
selected_two_stage_av,stricthellraiser,suit,2.636,2497,0.4149
selected_two_stage_av,stricthellraiser,low,7.3333,3,1.0
selected_two_stage_av,stricthellraiser,pooled,2.6416,2500,0.4156
stricthellraiser,selected_two_stage_av,suit,-3.0457,2493,0.3979
stricthellraiser,selected_two_stage_av,low,-3.8571,7,0.1429
stricthellraiser,selected_two_stage_av,pooled,-3.048,2500,0.3972
selected_two_stage_av,rankthetank,suit,10.4836,2500,0.8996
selected_two_stage_av,rankthetank,pooled,10.4836,2500,0.8996
rankthetank,selected_two_stage_av,suit,-10.52,2500,0.1024
rankthetank,selected_two_stage_av,pooled,-10.52,2500,0.1024
selected_two_stage_av,anchor_hybrid_r0_full,suit,0.0297,1821,0.4091
selected_two_stage_av,anchor_hybrid_r0_full,high,0.6945,311,0.4759
