model,contract,tricks_won,count,fraction,source
modeloespecifico,suit,5,2350,1.0,synthetic
modeloespecifico,high,5,70,1.0,synthetic
modeloespecifico,low,5,80,1.0,synthetic
selected_two_stage_av,suit,5,2396,1.0,synthetic
selected_two_stage_av,high,5,21,1.0,synthetic
selected_two_stage_av,low,5,83,1.0,synthetic
gbt_av,suit,5,1916,1.0,synthetic
gbt_av,high,5,241,1.0,synthetic
gbt_av,low,5,343,1.0,synthetic
constrained_ols_av,suit,5,1875,1.0,synthetic
constrained_ols_av,high,5,170,1.0,synthetic
constrained_ols_av,low,5,455,1.0,synthetic
selected_ols_av,suit,5,1818,1.0,synthetic
selected_ols_av,high,5,224,1.0,synthetic
selected_ols_av,low,5,458,1.0,synthetic
full_ols_av,suit,5,1058,1.0,synthetic
full_ols_av,high,5,687,1.0,synthetic
full_ols_av,low,5,755,1.0,synthetic
stricthellraiser,suit,5,2500,1.0,synthetic
rankthetank,suit,5,2500,1.0,synthetic
anchor_hybrid_r0_full,suit,5,1598,1.0,synthetic
anchor_hybrid_r0_full,high,5,203,1.0,synthetic
anchor_hybrid_r0_full,low,5,278,1.0,synthetic
