model,net_eppd,eppd,bid_rate,pass_rate,make_rate,cvar_5,net_cvar_5,mix_suit,mix_high,mix_low,source
modeloespecifico,1.6608,5.632,1.0,0.0,0.9496,-4.512,-11.112,0.94,0.028,0.032,comparator
selected_two_stage_av,1.8688,5.9156,1.0,0.0,0.9936,1.928,-5.392,0.9584,0.0084,0.0332,comparator
gbt_av,1.9968,5.7652,0.96,0.04,0.99,1.1417,-6.0,0.7664,0.0964,0.1372,comparator
constrained_ols_av,2.1944,6.0972,1.0,0.0,1.0,2.76,-4.48,0.75,0.068,0.182,comparator
selected_ols_av,2.0784,6.0392,1.0,0.0,1.0,2.712,-4.576,0.7272,0.0896,0.1832,comparator
full_ols_av,2.2816,6.1408,1.0,0.0,1.0,2.784,-4.432,0.4232,0.2748,0.302,comparator
stricthellraiser,0.1096,4.9284,1.0,0.0,0.9472,-3.0,-11.224,1.0,0.0,0.0,comparator
rankthetank,-9.6972,-5.5808,1.0,0.0,0.1476,-9.248,-15.04,1.0,0.0,0.0,comparator
modeloespecifico,4.6906,,0.488,0.512,0.9287,-3.26,,0.94,0.028,0.032,h2h_self_play
selected_two_stage_av,4.6084,,0.4928,0.5072,0.9091,-4.552,,0.9584,0.0084,0.0332,h2h_self_play
gbt_av,4.359,,0.4828,0.5172,0.8782,-6.888,,0.7664,0.0964,0.1372,h2h_self_play
constrained_ols_av,4.9554,,0.4944,0.5056,0.9879,0.46,,0.75,0.068,0.182,h2h_self_play
selected_ols_av,4.9436,,0.4988,0.5012,0.9759,0.196,,0.7272,0.0896,0.1832,h2h_self_play
full_ols_av,4.9964,,0.484,0.516,0.9983,0.852,,0.4232,0.2748,0.302,h2h_self_play
stricthellraiser,2.2032,,0.5072,0.4928,0.4306,-6.0,,1.0,0.0,0.0,h2h_self_play
rankthetank,-1.6218,,0.4756,0.5244,0.1102,-9.516,,1.0,0.0,0.0,h2h_self_play
anchor_hybrid_r0_full,3.5846,,0.4024,0.5976,0.8539,-5.908,,0.7686,0.0976,0.1337,h2h_self_play
