check_name,scope,value,threshold,status,detail
h2h_cells_populated,h2h,81.0,81.0,PASS,81/81 cells have metrics
h2h_min_deals,h2h,2500.0,10.0,PASS,Minimum deals across cells: 2500
comparator_bidders_present,comparator,8.0,2.0,PASS,8 bidders in comparator
r2_positive_constrained_ols_av_high,training,0.8556,0.0,PASS,constrained_ols_av high R²=0.8556
r2_positive_constrained_ols_av_low,training,0.8607,0.0,PASS,constrained_ols_av low R²=0.8607
r2_positive_constrained_ols_av_pass,training,0.0027,0.0,PASS,constrained_ols_av pass R²=0.0027
r2_positive_constrained_ols_av_suit,training,0.886,0.0,PASS,constrained_ols_av suit R²=0.8860
r2_positive_full_ols_av_high,training,0.8567,0.0,PASS,full_ols_av high R²=0.8567
r2_positive_full_ols_av_low,training,0.8646,0.0,PASS,full_ols_av low R²=0.8646
r2_positive_full_ols_av_pass,training,0.0235,0.0,PASS,full_ols_av pass R²=0.0235
r2_positive_full_ols_av_suit,training,0.8897,0.0,PASS,full_ols_av suit R²=0.8897
r2_positive_gbt_av_high,training,0.8633,0.0,PASS,gbt_av high R²=0.8633
r2_positive_gbt_av_low,training,0.873,0.0,PASS,gbt_av low R²=0.8730
r2_positive_gbt_av_pass,training,0.0257,0.0,PASS,gbt_av pass R²=0.0257
r2_positive_gbt_av_suit,training,0.8986,0.0,PASS,gbt_av suit R²=0.8986
r2_positive_selected_ols_av_high,training,0.8556,0.0,PASS,selected_ols_av high R²=0.8556
r2_positive_selected_ols_av_low,training,0.8606,0.0,PASS,selected_ols_av low R²=0.8606
r2_positive_selected_ols_av_pass,training,0.0154,0.0,PASS,selected_ols_av pass R²=0.0154
r2_positive_selected_ols_av_suit,training,0.8842,0.0,PASS,selected_ols_av suit R²=0.8842
r2_positive_selected_two_stage_av_high,training,0.8556,0.0,PASS,selected_two_stage_av high R²=0.8556
r2_positive_selected_two_stage_av_low,training,0.8606,0.0,PASS,selected_two_stage_av low R²=0.8606
r2_positive_selected_two_stage_av_pass,training,0.0154,0.0,PASS,selected_two_stage_av pass R²=0.0154
r2_positive_selected_two_stage_av_suit,training,0.0,0.0,WARN,selected_two_stage_av suit R²=0.0000
